海区,Sea region,区分,Classification,区分,Classification,生産量 Quantity
総数,Total,総数,Total,,,3292639
総数,Total,魚類,Fish,総数,Total,2890497
総数,Total,魚類,Fish,きんめだい,Alfonsino,1252899
総数,Total,魚類,Fish,とびうお,Flying fish,149100
総数,Total,魚類,Fish,むろあじ,Mackerel scad,84716
総数,Total,その他の水産動物,Other marine animals,総数,Total,174791
総数,Total,その他の水産動物,Other marine animals,いか類,Squids,129774
総数,Total,その他の水産動物,Other marine animals,いせえび,Spiny lobster,30766
総数,Total,その他の水産動物,Other marine animals,かめ ,Sea turtle　,11859
総数,Total,貝類,Shellfish,総数,Total,83886
総数,Total,貝類,Shellfish,あさり類,Shortnecked clams,52069
総数,Total,貝類,Shellfish,さざえ,Top shell,12170
総数,Total,貝類,Shellfish,とこぶし,Japanese abalone,7459
総数,Total,藻類,Seaweed,総数,Total,143465
総数,Total,藻類,Seaweed,てんぐさ,Tengusa,121393
総数,Total,藻類,Seaweed,とさかのり,Comb paste,21012
東京湾海区,Tokyo bay area,総数,Total,,,288083
東京湾海区,Tokyo bay area,魚類,Fish,総数,Total,227279
東京湾海区,Tokyo bay area,魚類,Fish,すずき,Sea bass,124533
東京湾海区,Tokyo bay area,魚類,Fish,かれい類,Flounder,27003
東京湾海区,Tokyo bay area,魚類,Fish,あなご,Conger,9882
東京湾海区,Tokyo bay area,その他の水産動物,Other marine animals,総数,Total,845
東京湾海区,Tokyo bay area,貝類,Shellfish,総数,Total,59754
東京湾海区,Tokyo bay area,貝類,Shellfish,あさり類,Shortnecked clams,52069
東京湾海区,Tokyo bay area,藻類,Seaweed,総数,Total,205
大島海区,Oshima sea area,総数,Total,,,1169436
大島海区,Oshima sea area,魚類,Fish,総数,Total,935390
大島海区,Oshima sea area,魚類,Fish,きんめだい,Alfonsino,610427
大島海区,Oshima sea area,魚類,Fish,いさき,Grunt,18586
大島海区,Oshima sea area,魚類,Fish,めだい,Doderlein,100613
大島海区,Oshima sea area,その他の水産動物,Other marine animals,総数,Total,75340
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いか類,Squids,47209
