年度,Fiscal year,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
平成27,2015,総数,Total,,,,27731,18520,9211,27731,18520,9211
平成28,2016,総数,Total,,,,29207,19728,9479,29207,19728,9479
平成29,2017,総数,Total,,,,31392,21618,9774,31392,21618,9774
平成30,2018,総数,Total,,,,32432,22470,9962,32432,22470,9962
令和元,2019,総数,Total,,,,33210,23315,9895,33210,23315,9895
令和元,2019,日暮里・舎人ライナー,Nippori-Toneri Liner,日暮里,Nippori,※,9936,7456,2480,9921,7456,2465
令和元,2019,日暮里・舎人ライナー,Nippori-Toneri Liner,西日暮里,Nishi-Nippori,※,5465,3667,1798,5829,3667,2162
令和元,2019,日暮里・舎人ライナー,Nippori-Toneri Liner,赤土小学校前,Akado-Shogakkomae,※,984,535,449,925,535,390
令和元,2019,日暮里・舎人ライナー,Nippori-Toneri Liner,熊野前,Kumanomae,※,1812,1062,750,1730,1062,668
令和元,2019,日暮里・舎人ライナー,Nippori-Toneri Liner,足立小台,Adachi-Odai,※,712,489,223,706,489,217
令和元,2019,日暮里・舎人ライナー,Nippori-Toneri Liner,扇大橋,Ogi-Ohashi,※,1876,1275,601,1837,1274,563
令和元,2019,日暮里・舎人ライナー,Nippori-Toneri Liner,高野,Koya,※,1161,847,314,1142,846,296
令和元,2019,日暮里・舎人ライナー,Nippori-Toneri Liner,江北,Kohoku,※,2009,1389,620,1985,1390,595
令和元,2019,日暮里・舎人ライナー,Nippori-Toneri Liner,西新井大師西,Nishiaraidaishi-Nishi,※,2235,1584,651,2217,1584,633
令和元,2019,日暮里・舎人ライナー,Nippori-Toneri Liner,谷在家,Yazaike,※,2011,1440,571,1968,1440,528
令和元,2019,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人公園,Toneri-Koen,※,878,500,378,864,500,364
令和元,2019,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人,Toneri,※,1605,1162,443,1591,1162,429
令和元,2019,日暮里・舎人ライナー,Nippori-Toneri Liner,見沼代親水公園,Minumadai-Shinsuikoen,※,2526,1909,617,2495,1910,585
,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-11  都営日暮里・舎人ライナーの駅別乗降車人員 (平成27～令和元年度） 4-11 NUMBER OF PASSENGERS ON TOEI NIPPORI-TONERI LINER TRAINS BY STATION ( Fiscal Years 2015-2019 ),,,,,,,,,,,,
同一会社内の乗り継ぎは除く。  ※印は区部にある駅 (線) を示す。,,,,,,,,,,,,
Figures exclude transits between lines of the same company. The lines and stations marked with ※ refer to the ones located in the ku area.,,,,,,,,,,,,
資料：都交通局総務部企画調整課  Source: Bureau of Transportation， TMG,,,,,,,,,,,,
（単位　千人） (In thousands),,,,,,,,,,,,
