区分階層,区分,Section,総数 Total,事務 Administrative employees,技術 Technically skilled employees,医療福祉 Health and welfare employees,技能労務 Public field worker
0,総数,Total,38853,14872,8992,8662,6327
1,議会局,Secretariat to the Metropolitan Assembly,148,126,-,-,22
1,知事部局,Governor's Bureaus and Offices,24765,11338,4332,8634,461
2,政策企画局,Office of the Governor for Policy Planning,149,141,8,-,-
2,総務局,Bureau of General Affairs,2584,2378,178,-,28
2,財務局,Bureau of Finance,437,253,177,-,7
2,主税局,Bureau of Taxation,2894,2893,1,-,-
2,生活文化局　　　　　,Bureau of Citizens and Cultural Affairs                              ,413,351,60,-,2
2,オリンピック・パラリンピック準備局,Bureau of Olympic and Paralympic Games Tokyo 2020 Preparation,365,297,68,-,-
2,都市整備局,Bureau of Urban Development          ,796,273,523,-,-
2,環境局,Bureau of Environment,474,241,228,-,5
2,福祉保健局,Bureau of Social Welfare and Public Health,4198,1471,470,2201,56
2,産業労働局,Bureau of Industrial and Labor Affairs ,1264,745,479,10,30
2,建設局,Bureau of Construction,2430,897,1500,-,33
2,港湾局,Bureau of Port and Harbor,641,259,343,-,39
2,会計管理局,Bureau of Accounting,111,111,-,-,-
2,都民安全推進本部,Office for Promotion of Citizen Safety,37,36,1,-,-
2,戦略政策情報推進本部,Office for Strategic Policy and ICT Promotion,106,96,10,-,-
2,住宅政策本部,Office for Housing Policy,389,207,182,-,-
2,病院経営本部,Office of Metropolitan Hospital Management,6842,405,6,6423,8
2,中央卸売市場,Central Wholesale Market,572,223,96,-,253
2,収用委員会,Secretariat to Expropriation Commission,25,23,2,-,-
2,労働委員会,Secretariat to Labor Relations Commission,38,38,-,-,-
1,公営企業体,Public Enterprises,13077,2627,4601,5,5844
2,交通局,Bureau of Transportation,6695,624,580,5,5486
2,水道局,Bureau of Waterworks,3863,1528,2068,-,267
2,下水道局,Bureau of Sewerage,2519,475,1953,-,91
1,行政委員会事務局,Executive Offices of Administrative Commission ,863,781,59,23,-
2,教育委員会,Board of Education ,682,626,33,23,-
2,選挙管理委員会,Election Administration Commission,25,25,-,-,-
2,人事委員会,Personnel Commission,62,55,7,-,-
2,監査事務局,Audit and Inspection Commissioners,89,73,16,-,-
2,海区漁業調整委員会,Sea Area Fisheries Adjustment Commission,5,2,3,-,-
,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,
22-5  職員数 (1) 都 (平成31年4月1日) 22-5  GOVERNMENT EMPLOYEES (1) TOKYO METROPOLITAN GOVERNMENT ( Apr. 1， 2019 ),,,,,,,
この表の職員数は定数である。,,,,,,,
Number of employees refers to the personnel quota.,,,,,,,
資料：都総務局人事部調査課 Source: Bureau of General Affairs， TMG,,,,,,,
区分階層（0:総数　1:議会局・知事部局・公営企業体・行政委員会事務局　2:区分）,,,,,,,
