年次,Year,月次,Month,区分,Classification,総数 Total,北海道 Hokkaido,九州 Kyushu,四国 Shikoku,沖縄 Okinawa,伊豆諸島 Izu islands,伊豆諸島 Izu islands／うち of which／大島 Oshima,伊豆諸島 Izu islands／うち of which／三宅島 Miyakejima,伊豆諸島 Izu islands／うち of which／八丈島 Hachijojima,小笠原 Ogasawara,その他 Others,外国 Overseas
平成27,2015,,,総数, Total,1729087,-,31090,795,904,506371,271690,62361,27211,50004,1120483,19440
平成28,2016,,,総数, Total,1850074,6,33010,-,1118,550469,312057,59026,28688,56218,1203149,6104
平成29,2017,,,総数, Total,1904071,-,35303,414,-,583284,328555,57181,32566,58653,1223903,2514
平成30,2018,,,総数, Total,1885575,273,36018,-,-,556174,313075,53407,29351,60409,1185580,47121
平成31･令和元,2019,,,総数, Total,1790573,-,42954,-,-,582085,335783,56900,30986,58258,1047391,59885
平成31,2019,1,Jan.,総数, Total,80955,-,2367,-,-,30198,22391,3355,1372,2452,45938,-
平成31,2019,2,Feb.,総数, Total,78723,-,1783,-,-,31462,24990,2732,1210,4570,40908,-
平成31,2019,3,Mar.,総数, Total,167369,-,4763,-,-,49397,36938,4203,2915,6253,104642,2314
平成31,2019,4,Apr.,総数, Total,147620,-,4420,-,-,44669,24674,4747,3248,4401,75664,18466
令和元,2019,5,May,総数, Total,176341,-,3373,-,-,59155,29561,6352,4267,4957,93628,15228
令和元,2019,6,June,総数, Total,142224,-,2568,-,-,34868,21372,4150,1255,3983,88372,12433
令和元,2019,7,July,総数, Total,198040,-,3289,-,-,64905,29310,5982,3098,7242,122604,-
令和元,2019,8,Aug.,総数, Total,290259,-,6260,-,-,105615,46073,7465,5848,8512,168588,1284
令和元,2019,9,Sept.,総数, Total,199587,-,3281,-,-,57899,30028,4989,3105,4762,128216,5429
令和元,2019,10,Oct.,総数, Total,125031,-,3753,-,-,31613,20089,3619,1292,3318,83768,2579
令和元,2019,11,Nov.,総数, Total,142245,-,3797,-,-,39031,25915,5387,1810,3407,94224,1786
令和元,2019,12,Dec.,総数, Total,42179,-,3300,-,-,33273,24442,3919,1566,4401,839,366
平成27,2015,,,乗船者, Boarding passengers,949578,-,15645,400,511,267228,135247,34528,17565,24607,632829,8358
平成28,2016,,,乗船者, Boarding passengers,939144,-,17493,-,706,289810,155180,33047,18784,28319,601690,1126
平成29,2017,,,乗船者, Boarding passengers,968339,-,18529,414,-,306658,162828,32064,21089,29260,612308,1170
平成30,2018,,,乗船者, Boarding passengers,977282,-,18394,-,-,292399,155783,29706,19667,30004,614227,22258
平成31･令和元,2019,,,乗船者, Boarding passengers,910374,-,22891,-,-,305093,166009,31753,20742,29296,524129,28965
平成31,2019,1,Jan.,乗船者, Boarding passengers,40394,-,986,-,-,15527,10451,1920,955,912,22969,-
平成31,2019,2,Feb.,乗船者, Boarding passengers,40962,-,1018,-,-,16806,12237,1738,877,2684,20454,-
平成31,2019,3,Mar.,乗船者, Boarding passengers,84740,-,2584,-,-,25908,18211,2321,1877,2987,52321,940
平成31,2019,4,Apr.,乗船者, Boarding passengers,79790,-,2133,-,-,26228,13058,2898,2508,2286,37832,11311
令和元,2019,5,May,乗船者, Boarding passengers,84573,-,1724,-,-,28468,14239,3280,2130,2373,46814,5194
令和元,2019,6,June,乗船者, Boarding passengers,71838,-,1403,-,-,18038,10881,2207,872,2146,44201,6050
令和元,2019,7,July,乗船者, Boarding passengers,101908,-,1983,-,-,34991,14687,3455,2317,3632,61302,-
