年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Ku assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成29,2017,13100,,区部,All ku,3657974,18076,433636,1912510,259938,7129,1361,42057,328577,68955,514293,3,68889,2550
平成30,2018,13100,,区部,All ku,3742982,18300,476961,1942593,265555,6757,2720,59793,330131,39623,541008,32,58940,568
令和元,2019,13100,,区部,All ku,3916272,18069,487798,2031503,272391,6692,1980,55649,369629,48564,553190,529,70080,197
令和元,2019,13101,1,千代田区,Chiyoda-ku,55961,541,11033,19242,4776,104,-,1699,9580,346,8571,-,71,-
令和元,2019,13102,2,中央区,Chuo-ku,98300,621,12988,33314,6893,181,51,3798,16838,818,21985,-,814,-
令和元,2019,13103,3,港区,Minato-ku,149919,704,24433,63823,11457,265,-,2430,14667,11325,20583,-,233,-
令和元,2019,13104,4,新宿区,Shinjuku-ku,146143,743,19271,79795,13508,1154,-,2528,12359,1305,13204,-,2276,-
令和元,2019,13105,5,文京区,Bunkyo-ku,110333,641,13030,50801,7550,218,-,1019,14049,1010,21237,-,779,-
令和元,2019,13106,6,台東区,Taito-ku,104147,640,14722,54780,8726,193,-,3915,6850,1297,11291,27,1705,-
令和元,2019,13107,7,墨田区,Sumida-ku,118897,638,15259,65770,7699,167,-,1782,10588,646,13696,86,2567,-
令和元,2019,13108,8,江東区,Koto-ku,197551,884,22912,104943,14238,188,-,1514,9547,3672,37281,2,2371,-
令和元,2019,13109,9,品川区,Shinagawa-ku,178667,813,18568,82656,11855,374,-,2621,25422,2364,32659,-,1336,-
令和元,2019,13110,10,目黒区,Meguro-ku,102809,722,16327,53143,8610,217,9,860,5449,760,14341,-,2370,-
令和元,2019,13111,11,大田区,Ota-ku,275540,1074,27579,150815,18594,84,17,4969,27143,7851,34150,-,3264,-
令和元,2019,13112,12,世田谷区,Setagaya-ku,316695,966,42029,161947,21902,235,227,2856,35997,2416,42544,158,5419,-
令和元,2019,13113,13,渋谷区,Shibuya-ku,100786,754,25029,44556,8424,166,-,1020,7446,708,11367,-,1315,-
令和元,2019,13114,14,中野区,Nakano-ku,141505,866,16727,70978,8553,68,2,948,14147,830,22472,-,5914,-
令和元,2019,13115,15,杉並区,Suginami-ku,198137,906,29018,106962,13743,794,127,1517,15756,933,25577,15,2788,-
令和元,2019,13116,16,豊島区,Toshima-ku,142426,674,31227,63709,8614,135,-,2477,19392,736,12857,-,2606,-
令和元,2019,13117,17,北区,Kita-ku,150983,774,15719,80512,9254,196,0,3728,11580,1211,24543,167,3298,-
令和元,2019,13118,18,荒川区,Arakawa-ku,97980,602,10215,53633,6695,130,-,2376,8357,711,12968,74,2219,-
令和元,2019,13119,19,板橋区,Itabashi-ku,219948,885,20261,125286,15578,155,125,1900,21113,459,30147,-,4041,-
令和元,2019,13120,20,練馬区,Nerima-ku,264704,1008,24575,153751,19988,679,1124,3055,18630,1465,35395,-,5034,-
令和元,2019,13121,21,足立区,Adachi-ku,285257,909,26404,163915,17248,297,77,2238,23598,3323,42311,-,4937,-
令和元,2019,13122,22,葛飾区,Katsushika-ku,197056,794,22142,106480,11714,463,45,3597,20475,1398,28543,-,1208,197
令和元,2019,13123,23,江戸川区,Edogawa-ku,262525,910,28334,140692,16774,230,175,2801,20647,2981,35468,-,13514,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,
21-5  区普通会計決算額 (2) 歳出 (平成29～令和元年度) 21-5  SETTLEMENT OF THE ORDINARY ACCOUNTS OF KU (2) EXPENDITURE ( Fiscal Years 2017-2019 ),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部区政課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
