品目階層,品目,Item,平成29年 2017／数量 Quantity,平成29年 2017／金額 Value,平成30年 2018／数量 Quantity,平成30年 2018／金額 Value,平成31･令和元年 2019／数量 Quantity,平成31･令和元年 2019／金額 Value
0,総数,Total,2029671,582649839,1942026,580696885,1951158,545443174
1,野菜,Vegetables,1550922,389505379,1495440,388696477,1503623,356421977
2,根菜類,Root vegetables,257669,35531673,236863,36434851,237192,29358963
3,だいこん,Japanese radish,131725,12576898,119393,12647384,118030,9648700
3,かぶ,Turnip,15019,2172186,14764,2099861,13373,1853852
3,にんじん,Carrot,92577,11887559,84493,13480618,87228,10003240
3,ごぼう,Edible burdock,8825,3018109,7709,2912353,8729,2520459
3,れんこん,Lotus root,7390,4428299,7941,3844886,7418,3780221
3,その他,Others,2132,1448622,2563,1449749,2414,1552493
2,キャベツ類,Cabbage varieties,195808,19239446,193673,20533013,198012,16303124
2,レタス類,Lettuce varieties,95782,19231609,96036,18024437,94057,17081496
2,葉茎菜類,Leaf and stem vegetables,299060,89706973,295140,91286576,298794,81286429
3,はくさい,Chinese cabbage,125987,11150952,126779,12004770,127428,7561223
3,こまつな,"""Komatsuna""",13775,4560951,13511,4445039,13522,4211691
3,ほうれんそう,Spinach,14776,8122233,14956,8103436,14404,7560105
3,ねぎ,Welsh onion,53077,18437248,51661,18847418,53039,16493987
3,ブロッコリー,Broccoli,28765,11308873,28114,11425424,31755,12328197
3,その他,Others,62681,36126716,60118,36460490,58645,33131225
2,果菜類,Fruit vegetables,317211,114898915,305692,118473982,307960,110836787
3,きゅうり,Cucumber,77515,24049604,76742,26316642,75392,23817679
3,かぼちゃ,Pumpkin　,33477,6239678,29600,6275921,32365,5492926
3,なす,Eggplant,32164,12498784,31308,12689609,30518,12085274
3,トマト,Tomato,84868,30656528,82726,30712962,80740,27715834
3,ピーマン,Bell pepper,24220,10368102,23653,11148896,24267,11061083
3,その他,Others,64967,31086221,61662,31329952,64678,30663991
2,豆科野菜類,Legumes,14250,11809846,13034,11585701,13347,11030250
3,いんげん,String bean,3367,2912409,3178,2862757,2975,2589989
3,えだまめ,Green soybean,5741,4649945,5217,4835338,5650,4565884
3,その他,Others,5142,4247492,4639,3887606,4721,3874377
2,ばれいしょ類,Potatoes,92733,14483378,86998,9677776,90753,10555852
2,土物類,Sweet potatoes/onions， etc.,191756,33302386,182627,32076477,178524,30779721
3,かんしょ,Sweet potato,29477,6484224,27990,6441361,26655,6870061
3,たまねぎ,Onion,134150,13269505,126123,13211799,122851,12311887
