年,Year,項目,Item,総数 Total／頭数 Number（頭 Number）,総数 Total／重量 Weight（kg）,総数 Total／金額 Value（千円 in thousands of yen）
平成29,2017,総数,Total,329287,78147317,132904972
平成30,2018,総数,Total,332932,78259347,134061705
平成31･令和元,2019,総数,Total,327655,76813612,134159930
平成31･令和元,2019,牛,Cattle,128590,60606255,126167858
平成31･令和元,2019,豚,Pig,198951,16177867,7875241
平成31･令和元,2019,馬,Horse,3,519,889
平成31･令和元,2019,こ牛,Calf,111,11525,6779
平成31･令和元,2019,山羊・緬羊,Goat and sheep,-,-,-
平成31･令和元,2019,その他,Others,…,17446,109164
,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,
10-3  畜産物の畜種別取扱高 （平成29～平成31･令和元年） 10-3 TOTAL TRANSACTIONS IN LIVESTOCK PRODUCTS BY TYPE OF LIVESTOCK （ 2017-2019 ）,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,
（単位　重量　kg，金額　千円） （Weight in kg ， Value in thousands of yen),,,,,,
