No,観測地点 1),Location of observatory 1),水準基標番号 Bench mark number,測量開始年,Year of start of measurement,平成17年 2005,平成18年 2006,平成19年 2007,平成20年 2008,平成21年 2009,平成22年 2010,平成23年 2011 2),平成24年 2012,平成25年 2013,平成26年 2014,平成27年 2015,平成28年 2016 3),平成29年 2017,平成30年 2018,平成31・令和元年 2019,(参考) 測量開始年からの変動量累計 (単位 ｍ) (Reference) Accumulated total since the beginning of observation (in meters) 4) 
1,港区 芝,Shiba， Minato-ku,芝(6),昭和5,1930,-0.19,0.39,-0.44,0.09,0.1,-0.35,…,0.19,-0.03,0.09,-0.08,0.34,-0.4,0.21,-0.25,-0.0636
2,新宿区 市谷田町,Ichigayatamachi， Shinjuku-ku,牛(4),昭和5,1930,-0.12,0.15,-0.39,0.06,0.21,-0.57,…,-0.01,-0.46,-0.05,0.04,0.14,0.02,-0.03,0.01,-0.1566
3,文京区 本郷,Hongo， Bunkyo-ku,郷(2),昭和5,1930,0.03,0.47,-0.8,0.25,0.03,-0.82,…,-0.25,-0.17,-0.19,0.13,0.27,-0.35,-0.48,-0.04,-0.1659
4,墨田区 八広,Yahiro， Sumida-ku,向(3),昭和8,1933,0.38,0.69,-0.4,0.23,0.24,-0.22,…,0.27,0,0.14,-0.02,0.09,-0.25,0.48,-0.12,-1.7382
5,江東区 南砂,Minamisuna， Koto-ku,9832,大正7,1918,0.34,0.92,-0.27,0.28,0.32,-0.16,…,0.2,0.03,0.36,-0.53,0.44,-0.05,0.61,-0.31,-4.5077
6,大田区 本羽田,Honhaneda， Ota-ku,蒲(5),昭和19,1944,0.42,-0.03,-0.65,0.38,0.01,0.45,…,0.25,-0.25,0.18,0.4,-0.12,0.03,-0.04,-0.1,-0.0413
7,世田谷区 千歳台,Chitosedai， Setagaya-ku,世(8),昭和47,1972,-0.45,0,-0.45,0.22,0.26,-0.52,…,0.48,-0.28,0.27,0.05,0.04,0.18,-0.16,0.58,-0.0366
8,板橋区 新河岸,Shingashi， Itabashi-ku,板(7),昭和33,1958,-0.29,0.43,-0.55,0.46,0.12,-0.72,…,-0.02,0.06,-0.07,0.17,-0.32,0.1,-0.21,0.58,-1.2361
9,練馬区 高松,Takamatsu， Nerima-ku,練(15),昭和44,1969,-0.2,0.15,-0.4,0.56,-0.02,-0.81,…,0.28,0.23,-0.01,0.07,0.15,0.26,-0.04,0.49,-0.3285
10,足立区 千住大川町,Senjuokawa-cho， Adachi-ku,足(18),昭和37,1962,0.46,0.52,-0.36,0.38,-0.45,0,…,-0.08,0.4,0,0.04,0.13,-0.15,0.1,0.3,-0.7328
