年次,Year,産業 (大分類) Industry (Division),産業 (大分類),Industry (Division),総数 Total 1),300万円未満 Under 3 mil. yen,300万円～500万円未満 3mil. yen - under 5mil. yen,500万円～1000万円未満 5mil. yen - under 10mil. yen,1000万円～3000万円未満 10mil. yen - under 30mil. yen,3000万円～5000万円未満30mil. yen - under 50mil. yen,5000万円～1億円未満 50mil. yen - under 100mil. yen,1億円～3億円未満 100mil. yen - under 300mil. yen,3億円～10億円未満300mil. yen - under 1 bil.yen,10億円～50億円未満 1 bil. yen - under 5 bil.yen,50億円以上 5 bil. yen or more
平成24,2012,,東京都,Tokyo-to,259771,8906,82194,22233,101403,11698,10030,4911,2861,1567,1181
平成28,2016,,東京都,Tokyo-to,248512,14024,73538,23398,91525,11521,10729,5541,2954,1690,1236
平成28,2016,A，B,農業，林業・漁業,Agriculture， forestry and fisheries,395,25,146,55,112,11,15,11,3,2,-
平成28,2016,C,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,79,-,1,1,24,2,1,7,6,13,22
平成28,2016,D,建設業,Construction,28425,976,9583,3143,11178,1406,932,310,116,72,56
平成28,2016,E,製造業,Manufacturing,31942,949,9733,2773,12866,1635,1498,749,454,388,369
平成28,2016,F,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,130,2,2,4,13,9,11,23,36,7,13
平成28,2016,G,情報通信業,Information and communications,17018,1211,2926,1220,6831,1101,1128,718,462,193,91
平成28,2016,H,運輸業，郵便業,Transport and postal activities,5094,104,864,530,2277,373,409,213,113,67,40
平成28,2016,I,卸売業，小売業,Wholesale and retail trade,61328,2893,17456,5717,24151,3042,2806,1333,809,353,167
平成28,2016,J,金融業，保険業,Finance and insurance,3897,246,952,247,1014,138,244,291,255,156,194
平成28,2016,K,不動産業，物品賃貸業,Real estate and goods rental and leasing,31414,1561,9777,2760,12419,1390,1321,603,208,161,64
平成28,2016,L,学術研究，専門・技術サービス業,Scientific research， professional and technical services,19679,1803,5387,1572,7383,730,717,411,203,143,165
平成28,2016,M,宿泊業，飲食サービス業,Accommodations， eating and drinking services,17429,1549,6836,2254,3552,382,323,175,40,40,13
平成28,2016,N,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,11129,884,4056,1186,2901,349,382,187,58,40,12
平成28,2016,O,教育，学習支援業,Education， learning support,3311,375,986,344,973,109,105,61,23,5,-
平成28,2016,P,医療，福祉,Medical， health care and welfare,4473,735,1557,587,798,108,104,63,23,3,4
平成28,2016,Q,複合サービス事業,Compound services,6,-,2,1,2,-,-,-,-,-,1
平成28,2016,R,サービス業 (他に分類されないもの),Services， n.e.c.,12763,711,3274,1004,5031,736,733,386,145,47,25
平成24,2012,,全国,Japan,1706470,74885,609711,214636,587021,69905,45294,14793,7877,3801,2159
平成28,2016,,全国,Japan,1629286,106659,565289,214971,546245,68136,46569,15371,7340,3602,2182
平成28,2016,A，B,農業，林業・漁業,Agriculture， forestry and fisheries,18972,1896,8658,3657,3363,492,404,114,32,10,2
平成28,2016,C,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,1193,26,243,155,537,94,58,18,7,13,23
平成28,2016,D,建設業,Construction,289025,11650,100711,48537,99300,15932,6080,1061,333,143,91
平成28,2016,E,製造業,Manufacturing,249752,8398,73471,30091,101850,13931,10960,3563,2146,1173,770
平成28,2016,F,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,976,64,98,62,222,70,115,113,116,43,40
平成28,2016,G,情報通信業,Information and communications,40776,4204,9697,3313,14876,2195,2128,1255,784,338,116
平成28,2016,H,運輸業，郵便業,Transport and postal activities,51528,1425,10179,8321,23388,3459,2385,823,350,190,99
平成28,2016,I,卸売業，小売業,Wholesale and retail trade,414610,24939,144586,54414,145649,15343,10806,3403,1582,663,306
平成28,2016,J,金融業，保険業,Finance and insurance,22158,2866,9486,1785,4763,489,645,512,358,207,310
平成28,2016,K,不動産業，物品賃貸業,Real estate and goods rental and leasing,161594,9537,61944,18988,54301,5676,4755,1594,554,309,100
平成28,2016,L,学術研究，専門・技術サービス業,Scientific research， professional and technical services,81655,8706,29485,8351,26872,2166,1695,719,324,230,234
平成28,2016,M,宿泊業，飲食サービス業,Accommodations， eating and drinking services,96329,9897,40062,13318,19126,2268,1726,551,155,98,27
平成28,2016,N,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,61697,5729,23769,7812,15012,2026,1861,653,232,72,23
平成28,2016,O,教育，学習支援業,Education， learning support,15955,2259,5665,1772,4038,462,370,128,51,14,-
平成28,2016,P,医療，福祉,Medical， health care and welfare,38893,8823,15382,4749,5415,593,460,139,53,11,5
平成28,2016,Q,複合サービス事業,Compound services,75,14,28,7,15,1,1,-,-,-,1
平成28,2016,R,サービス業 (他に分類されないもの),Services， n.e.c.,84098,6226,31825,9639,27518,2939,2120,725,263,88,35
,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　8 事業所 8  ESTABLISHMENTS,,,,,,,,,,,,,,,
8-4  産業 (大分類)，資本金階級別企業数 (平成24，28年) 8-4  COMPANIES AND ENTERPRISES BY CAPITAL SIZE AND INDUSTRY ( DIVISION ) ( 2012 and 2016 ),,,,,,,,,,,,,,,
注 1) 資本金額が不詳の企業が含まれるため，各資本金階級の合計が総数に一致しない場合がある。,,,,,,,,,,,,,,,
Note: 1) The capital size may not add up to the total figure because the total figure includes enterprises with unknown capital.,,,,,,,,,,,,,,,
資料：総務省統計局・経済産業省，都総務局統計部産業統計課 「平成24年経済センサス-活動調査報告」，「平成28年経済センサス-活動調査報告」 Source: Statistics Bureau， Ministry of Internal Affairs and Communications; Ministry of Economy， Trade and Industry; Bureau of General Affairs， TMG ,,,,,,,,,,,,,,,
