観測地,Observatory,総数 Total,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月  Oct.,11月 Nov.,12月 Dec.
東京,Tokyo,1874,16,42,117.5,90.5,120.5,225,193,110,197,529.5,156.5,76.5
江戸川臨海,Edogawarinkai,1555.5,14.5,38,91.5,69.5,94.5,184.5,185,70,213.5,387.5,105.5,101.5
練馬,Nerima,1692,11,31.5,117.5,81.5,96,239,172.5,80.5,178,528.5,109,47
世田谷,Setagaya,1729,13.5,39.5,113,80.5,126.5,213,173.5,70,189,523,119.5,68
府中,Fuchu,1944.5,12.5,31,126,82,116.5,228.5,162.5,131,271.5,600.5,126,56.5
八王子,Hachioji,1966,12.5,23.5,119.5,86,128.5,211,212,200,152.5,673,97,50.5
小沢,Ozawa,2269,11,22,118,57.5,103.5,249.5,267,181,198,929.5,89.5,42.5
青梅,Ome,2198.5,11,27,112.5,91,106,294,277.5,303.5,197.5,650,86,42.5
小河内,Ogochi,2103.5,10,20.5,109,48.5,100,229,239,133.5,184,907.5,89.5,33
羽田,Haneda,1505.5,14,40.5,95.5,62.5,96.5,191,153,77,198,390.5,87,100
大島,Oshima,3890.5,34.5,97,237.5,230.5,233,645.5,447,116,463,939,296,151.5
新島,Niijima,2574.5,27.5,121.5,138,191,160,294.5,454.5,69.5,209.5,578,196,134.5
三宅島,Miyakejima,4124,49,190,313,384.5,225.5,482.5,647,60.5,399,758,356,259
八丈島,Hachijojima,4340.5,170,263.5,352.5,238,274.5,322,763,34,553.5,771,342.5,256
父島,Chichijima,1698.5,28.5,24,79.5,94,183.5,197.5,153.5,75.5,212.5,405,51,194
,,,,,,,,,,,,,,
東京都統計年鑑 （平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,
1-7  地域気象観測所降水量（平成31・令和元年） 1-7 PRECIPITATION AT LOCAL METEOROLOGICAL STATIONS ( 2019 ),,,,,,,,,,,,,,
この表の観測地のうち，東京とは東京管区気象台をいい，その他は地域気象観測所又は測候所をいう。,,,,,,,,,,,,,,
"""Tokyo"" in this table refers to the Tokyo District Meteorological Observatory， and the others are local observation stations and weather stations.    ",,,,,,,,,,,,,,
注) 羽田と新島の９月の数値及び大島の10月の数値は，欠測等により統計を行う対象資料が許容範囲で欠けている。 ,,,,,,,,,,,,,,
Note: The September figures for Haneda and Niijima and the October figures for Oshima indicate that an acceptable portion of data needed for the calculation was missing due to measurement failure or other reasons.,,,,,,,,,,,,,,
資料：気象庁 Source: Japan Meteorological Agency,,,,,,,,,,,,,,
 （単位　mm）(In mm）,,,,,,,,,,,,,,
