年度,Fiscal year,組織,Form of organization,業種,Contractor classification,資本金階層別 ,By size of capital,企業数 Enterprises,完成工事高 Value of construction work completed／元請 Original contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／機械 Machinery,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／機械 Machinery,完成工事高 Value of construction work completed／下請 Subcontract／総数 Total,完成工事高 Value of construction work completed／下請 Subcontract／土木 Civil engineering,完成工事高 Value of construction work completed／下請 Subcontract／建築 Building construction,完成工事高 Value of construction work completed／下請 Subcontract／機械 Machinery
平成26,2014,総数,Total,,,,,20406,20522428,15584408,2070528,11820537,1693344,4938020,2628885,1499727,809407,7686176,2090000,4752476,843700
平成27,2015,総数,Total,,,,,20645,21437350,16405046,1968115,12417850,2019081,5032304,2766000,1580200,686105,7937073,2004828,5076453,855792
平成28,2016,総数,Total,,,,,19509,21645108,16631260,2037028,12306367,2287863,5013848,2815448,1522425,675975,7943345,1973324,4965187,1004834
平成29,2017,総数,Total,,,,,19125,22241032,17078547,2110811,12947932,2019805,5162485,3040106,1455338,667041,7958430,1928315,5106498,923617
平成30,2018,総数,Total,,,,,18026,23811872,18821388,2303481,14435248,2082659,4990484,2955934,1492512,542038,8357726,2129566,5251709,976452
平成30,2018,許可業者,Licensed contractors,総数,Total,,,18026,23811872,18821388,2303481,14435248,2082659,4990484,2955934,1492512,542038,8357726,2129566,5251709,976452
平成30,2018,許可業者,Licensed contractors,大臣許可,Licensed by minister,,,1694,21441562,16903700,2127384,13027592,1748724,4537862,2718513,1303474,515875,5893924,1581757,3639353,672814
平成30,2018,許可業者,Licensed contractors,知事許可,Licensed by governor,,,16332,2370310,1917688,176097,1407656,333935,452622,237421,189038,26163,2463802,547809,1612356,303638
平成30,2018,総合工事業,General construction work,総数,Total,,,5694,17112611,13183913,1397991,11569603,216320,3928699,2844488,975532,108679,2518056,1566005,899375,52676
平成30,2018,総合工事業,General construction work,一般土木建築工事業,General civil engineering work and building work,,,74,9951232,7151671,964484,6182968,4219,2799561,2022513,776965,83,384094,149897,226141,8056
平成30,2018,総合工事業,General construction work,土木工事業,Civil engineering work,,,963,855825,413309,279597,60854,72857,442516,434392,3843,4281,690469,656554,14497,19418
平成30,2018,総合工事業,General construction work,造園工事業,Gardening work,,,404,40399,23351,23151,200,-,17047,17047,-,-,47452,46354,1098,-
平成30,2018,総合工事業,General construction work,水道施設工事業,Plumbing work,,,376,192866,33485,1479,399,31607,159381,69475,531,89375,69940,52481,558,16901
平成30,2018,総合工事業,General construction work,舗装工事業,Paving work,,,325,380921,104309,92589,10666,1054,276612,276370,242,-,603572,598819,4130,623
平成30,2018,総合工事業,General construction work,しゅんせつ工事業,Dredging work,,,8,2255,409,409,-,-,1846,1846,-,-,28571,28555,-,16
平成30,2018,総合工事業,General construction work,建築工事業,Building work (except wooden buildings),,,2895,4290805,4059574,36023,3917003,106548,231231,22734,193567,14930,575022,33345,534052,7625
平成30,2018,総合工事業,General construction work,木造建築工事業,Building work (wooden buildings),,,649,1398309,1397804,258,1397512,35,505,111,384,10,118935,-,118898,37
平成30,2018,職別工事業,Construction work by specialist contractor ,総数,Total,,,6524,1353161,1162155,73169,1053751,35234,191006,25796,160388,4823,2418729,431706,1954891,32133
平成30,2018,設備工事業,Equipment installation work,総数,Total,,,5808,5346100,4475321,832322,1811895,1831105,870779,85649,356593,428536,3420942,131855,2397442,891644
平成30,2018,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数,Total,,,13766,17549807,13663373,1805158,11333295,524919,3886435,2632467,1222169,31799,5969105,1509006,3985482,474618
平成30,2018,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,個人,Sole proprietorship,,,775,10003,9938,662,9277,-,65,65,-,-,11845,140,11530,176
平成30,2018,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,法人,Corporation,,,12990,17539804,13653434,1804496,11324019,524919,3886370,2632402,1222169,31799,5957260,1508867,3973952,474442
平成30,2018,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,,,200万円未満 ,Under 2 million yen,591,7946,7550,2684,4620,246,396,396,-,-,50019,19166,16176,14678
平成30,2018,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,,,200万円～500万円未満 ,2-5 million yen,3251,61801,46730,3808,42335,586,15072,5336,9699,37,201788,50906,127293,23589
平成30,2018,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,,,500万円～1000万円未満 ,5-10 million yen,1452,59400,53440,7056,46381,4,5960,1236,4688,35,128890,20841,108024,25
平成30,2018,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,,,1000万円～3000万円未満 ,10-30 million yen,6004,861464,681511,23385,630006,28120,179952,103448,74764,1740,1358547,324850,881696,152002
平成30,2018,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,,,3000万円～5000万円未満 ,30-50 million yen,848,690923,558790,42353,502067,14370,132133,76044,52786,3303,423476,117612,259662,46202
平成30,2018,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,,,5000万円～1億円未満 ,50-100 million yen,533,582641,434643,66431,325927,42285,147998,63381,77768,6849,632509,192196,371730,68583
平成30,2018,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,,,1億円～10億円未満 ,100 million yen to 1 billion yen,227,1453533,1251451,147497,990367,113587,202082,116360,80341,5381,1196762,240049,871295,85418
