年次および種類,Year and kind,月次 ,Month,第3次産業総合 Tertiary industry,第3次産業総合 Tertiary industry／電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,第3次産業総合 Tertiary industry／情報通信業 Information and communications,第3次産業総合 Tertiary industry／運輸業，郵便業 Transport and postal activities,第3次産業総合 Tertiary industry／卸売業 Wholesale trade,第3次産業総合 Tertiary industry／金融業，保険業 Finance and insurance,第3次産業総合 Tertiary industry／物品賃貸業 (自動車賃貸業を含む) Goods rental and leasing （ include automobile rental and leasing ）,第3次産業総合 Tertiary industry／事業者向け関連サービス Business-related services,第3次産業総合 Tertiary industry／小売業 Retail trade,第3次産業総合 Tertiary industry／不動産業 Real estate,第3次産業総合 Tertiary industry／医療，福祉 Medical， health care and welfare,第3次産業総合 Tertiary industry／生活娯楽関連サービス Living and amusement-related services
ウェイト ,Weight,総数,Total,10000,139.4,1498.9,496,1690.9,1216.1,382.1,1407.2,711.8,900.5,511.8,1045.4
平成27,2015,総数,Total,103.4,90.1,105,106.6,90,119.6,92.4,103.3,101.9,104.7,117.2,101
平成28,2016,総数,Total,104.5,89.8,106.6,108.7,92.7,119.3,95.2,105.6,99.8,104.9,120.5,99.8
平成29,2017,総数,Total,105.7,89.9,109.2,110,91,121.6,96.1,108.6,100.1,105.7,122.9,101.3
平成30,2018,総数,Total,107.5,89.8,111.5,110.8,93.2,126.3,97.1,110,99.5,106.5,124.8,102.6
平成31･令和元,2019,総数,Total,108.9,89.3,115.4,111.4,91.6,127,97.4,112.6,97.5,107.6,130.8,105.7
平成31,2019,1,Jan.,109.4,90.1,114.9,112.5,92.8,126.6,97.1,116.3,97.3,108,128.3,104.6
平成31,2019,2,Feb.,108.2,87.3,113.8,110,91.7,126.3,96.9,113.2,98.8,107.2,127.7,103.2
平成31,2019,3,Mar.,107,86.5,112,109,89.2,126.5,96.1,110.1,99,109.3,129,100.5
平成31,2019,4,Apr.,108.2,91.4,115.6,112.3,92.7,125.2,97.1,103.4,98.8,107.6,131.7,109.1
令和元,2019,5,May,109.8,93.7,117.3,110.6,92.6,131.5,97.6,111.6,97.3,106.4,130.3,107
令和元,2019,6,June,109,89.5,116.6,111.6,91.9,126.5,97.3,110.5,97.7,106.9,131,108.3
令和元,2019,7,July,109.7,84.8,117.7,113.2,94.1,126.7,97.1,111.7,93.3,106.1,133.2,109.7
令和元,2019,8,Aug.,111.2,92.4,118.9,111.7,92.1,127.7,97.3,114.3,100.7,110.2,133.2,112.5
令和元,2019,9,Sept.,112.4,92.8,119.4,113.7,96.7,131.1,97.9,115.3,114.1,107.8,131.4,103
令和元,2019,10,Oct.,108.1,92.1,114.9,108.6,95.3,127.1,97.3,114,86.3,105.9,130.5,100.7
令和元,2019,11,Nov.,108.7,87.7,113.7,111.8,89.4,127.2,98.3,116.2,94.2,106.7,133.4,105.6
令和元,2019,12,Dec.,108.2,87.8,114.1,111.4,86.4,125.1,98.7,115.9,95.7,108.8,133.6,105
,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,
12-4  第３次産業活動指数 (平成27～平成31・令和元年) 12-4  INDICES OF TERTIARY INDUSTRY ACTIVITY ( 2015-2019 ),,,,,,,,,,,,,,,
(1) ウェイト………平成22年の粗付加価値額,,,,,,,,,,,,,,,
(2) 算式………固定ウェイトによる加重算術平均式 ,,,,,,,,,,,,,,,
(1) Weight  ……… Gross value added in 2010,,,,,,,,,,,,,,,
(2) Formula……… A weighted arithmetic mean formula based on weights fixed in the base period,,,,,,,,,,,,,,,
注 1) 月別の値は，季節調整済指数である。 ,,,,,,,,,,,,,,,
2) 暦年の値は月別原指数の平均値である。 ,,,,,,,,,,,,,,,
3) 指数値は，最新のデータ入手に伴い遡及して変更されることがある。 ,,,,,,,,,,,,,,,
Note: 1) Monthly figures are seasonally adjusted indices.,,,,,,,,,,,,,,,
2) Yearly figures are the averages of original monthly indices.,,,,,,,,,,,,,,,
3) Indices may be retroactively revised  to reflect the latest available data.,,,,,,,,,,,,,,,
資料：都総務局統計部調整課 「東京都第３次産業活動指数」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
（平成 22年平均＝100） ( 2010  Average=100 ),,,,,,,,,,,,,,,
