地域階層,地域コード,項番 Item number,地域,District,登録自動車 Motor vehicles registered／総数 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／計 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／普通車 Ordinary,登録自動車 Motor vehicles registered／貨物自動車 Trucks／小型車 Small,登録自動車 Motor vehicles registered／貨物自動車 Trucks／被けん引車 Trailers,登録自動車 Motor vehicles registered／乗用車 Passenger cars／計 Total,登録自動車 Motor vehicles registered／乗用車 Passenger cars／普通車 Ordinary,登録自動車 Motor vehicles registered／乗用車 Passenger cars／小型車 Small,登録自動車 Motor vehicles registered／乗合自動車 Buses,登録自動車 Motor vehicles registered／特種用途車 Special use motor vehicles,登録自動車 Motor vehicles registered／大型特殊車 Heavy special type motor vehicles,1)小型二輪車（検査） Light two-wheeled motor vehicles ( Inspected ),2)課税登録台数軽自動車(四輪車) Light four-wheeled motor vehicles registered,有料駐車場 Pay parking lots／駐車場数 Quantity,有料駐車場 Pay parking lots／収容台数 Capacity
0,13000,,総数,Tokyo-to,3111906,381521,125444,246961,9116,2619244,1553365,1065879,16628,80753,13760,171660,739355,1762,292686
1,13100,,区部,All ku,1941823,273089,88505,176335,8249,1596813,1012577,584236,10651,52218,9052,114512,316652,1343,206682
2,13101,1,千代田区,Chiyoda-ku,31839,4228,394,3825,9,26796,18564,8232,72,678,65,1036,2903,185,20416
2,13102,2,中央区,Chuo-ku,43598,6069,856,5156,57,36250,25973,10277,103,899,277,1783,4189,136,16451
2,13103,3,港区,Minato-ku,77473,8081,1785,5913,383,67229,53683,13546,283,1288,592,3546,5125,178,23382
2,13104,4,新宿区,Shinjuku-ku,52028,6404,1154,5242,8,44027,28994,15033,187,1377,33,3624,8173,100,15479
2,13105,5,文京区,Bunkyo-ku,31519,3592,538,3054,-,27446,18506,8940,25,448,8,2049,3946,29,3085
2,13106,6,台東区,Taito-ku,33160,6387,861,5486,40,26045,15425,10620,44,638,46,1981,6306,45,4330
2,13107,7,墨田区,Sumida-ku,47973,9194,2307,6858,29,37123,21525,15598,159,1141,356,2747,8989,27,4930
2,13108,8,江東区,Koto-ku,111964,26877,11929,12903,2045,77164,48394,28770,827,5379,1717,5442,13308,112,25867
2,13109,9,品川区,Shinagawa-ku,69794,11341,2827,6792,1722,56102,36982,19120,481,1561,309,4518,9009,71,11112
2,13110,10,目黒区,Meguro-ku,52886,3649,951,2671,27,48129,34982,13147,231,819,58,3518,5406,17,1774
2,13111,11,大田区,Ota-ku,156483,28701,10217,15906,2578,120478,75596,44882,1312,4989,1003,9755,23067,47,19767
2,13112,12,世田谷区,Setagaya-ku,190639,13316,4041,9245,30,172881,121070,51811,725,3354,363,12722,23320,36,5230
2,13113,13,渋谷区,Shibuya-ku,50735,4019,663,3326,30,45776,34510,11266,170,729,41,3393,5131,97,10553
2,13114,14,中野区,Nakano-ku,44735,4408,810,3589,9,39109,24516,14593,303,862,53,4267,8094,15,1577
2,13115,15,杉並区,Suginami-ku,95675,7379,1963,5408,8,85839,54979,30860,502,1842,113,6200,14411,9,846
2,13116,16,豊島区,Toshima-ku,41103,5096,792,4298,6,34949,21946,13003,249,801,8,2972,6732,48,7017
2,13117,17,北区,Kita-ku,52323,6539,1493,5041,5,44243,25045,19198,386,1080,75,4426,9783,11,1517
2,13118,18,荒川区,Arakawa-ku,34375,6020,1633,4320,67,27141,15984,11157,109,914,191,1930,6562,11,995
2,13119,19,板橋区,Itabashi-ku,107544,16363,5896,10439,28,87623,51067,36556,516,2817,225,6709,20407,33,6259
2,13120,20,練馬区,Nerima-ku,156740,16477,5009,11432,36,135643,80795,54848,820,3588,212,8672,31345,29,6478
2,13121,21,足立区,Adachi-ku,183778,33080,13606,19319,155,141074,79457,61617,1383,7331,910,9201,44294,48,7444
2,13122,22,葛飾区,Katsushika-ku,103097,14279,4788,9375,116,84425,47347,37078,657,2984,752,5439,22799,31,4931
2,13123,23,江戸川区,Edogawa-ku,172362,31590,13992,16737,861,131321,77237,54084,1107,6699,1645,8582,33353,28,7242
1,13200,,市部,All shi,1133103,99940,32917,66430,593,998072,529733,468339,5587,26166,3338,55573,389504,419,86004
2,13201,1,八王子市,Hachioji-shi,175599,18075,6702,11171,202,150852,78557,72295,1205,4902,565,9020,70749,72,17115
2,13202,2,立川市,Tachikawa-shi,53142,5596,1473,4106,17,45421,23093,22328,255,1704,166,2601,19723,43,15101
2,13203,3,武蔵野市,Musashino-shi,26937,1464,285,1178,1,24552,15063,9489,360,496,65,1248,4460,27,2983
2,13204,4,三鷹市,Mitaka-shi,41122,3370,1010,2349,11,36810,21073,15737,74,784,84,2361,8660,7,841
2,13205,5,青梅市,Ome-shi,46433,4450,1685,2670,95,40489,19886,20603,188,1072,234,2545,28142,7,1390
2,13206,6,府中市,Fuchu-shi,64411,6558,2290,4247,21,55644,30363,25281,261,1737,211,3122,17274,16,3952
2,13207,7,昭島市,Akishima-shi,32984,3209,1217,1986,6,28746,14558,14188,75,809,145,1553,12746,12,1597
2,13208,8,調布市,Chofu-shi,52014,4659,1453,3203,3,45840,26559,19281,272,1080,163,2499,11087,47,7508
2,13209,9,町田市,Machida-shi,128172,9386,2931,6423,32,115568,62042,53526,802,2167,249,5581,42466,57,11896
2,13210,10,小金井市,Koganei-shi,24768,1317,300,1016,1,22924,12660,10264,70,397,60,1307,5515,7,1017
2,13211,11,小平市,Kodaira-shi,48499,3684,1101,2580,3,43395,23023,20372,184,1050,186,2317,13280,4,236
2,13212,12,日野市,Hino-shi,49341,3081,888,2189,4,44623,23347,21276,220,1290,127,2516,15202,13,2440
2,13213,13,東村山市,Higashimurayama-shi,39339,3467,1124,2330,13,34700,17491,17209,126,955,91,1914,13833,5,868
2,13214,14,国分寺市,Kokubunji-shi,27389,1509,286,1222,1,25325,13874,11451,73,422,60,1320,6497,5,1023
2,13215,15,国立市,Kunitachi-shi,19547,2565,1179,1370,16,16195,9356,6839,40,655,92,801,4385,6,391
2,13218,16,福生市,Fussa-shi,25813,1696,475,1217,4,23423,10603,12820,211,401,82,1275,9657,12,1840
2,13219,17,狛江市,Komae-shi,17139,1636,439,1196,1,15001,8543,6458,151,322,29,1003,3739,3,298
2,13220,18,東大和市,Higashiyamato-shi,25510,2407,695,1702,10,22405,11324,11081,60,577,61,1338,10733,2,119
2,13221,19,清瀬市,Kiyose-shi,18298,1365,270,1093,2,16503,8205,8298,100,288,42,858,6875,11,1200
2,13222,20,東久留米市,Higashikurume-shi,31244,3209,969,2213,27,27009,13910,13099,196,759,71,1404,10228,3,164
2,13223,21,武蔵村山市,Musashimurayama-shi,27865,4577,1954,2570,53,21899,11258,10641,81,1229,79,1391,15345,1,257
2,13224,22,多摩市,Tama-shi,39158,2405,767,1635,3,35650,19018,16632,263,810,30,1874,10447,26,7952
2,13225,23,稲城市,Inagi-shi,25553,2238,766,1459,13,22672,12601,10071,59,546,38,1084,6637,13,2465
2,13227,24,羽村市,Hamura-shi,19127,1834,670,1147,17,16803,8402,8401,49,332,109,835,9833,2,185
2,13228,25,あきる野市,Akiruno-shi,28259,2883,1112,1764,7,24432,12086,12346,115,643,186,1611,21142,7,2147
2,13229,26,西東京市,Nishitokyo-shi,45440,3300,876,2394,30,41191,22838,18353,97,739,113,2195,10849,11,1019
