年次,Year,区分,Classification,港または空港,Seaport or airport ,総数 Total,アジア Asia,ヨーロッパ Europe,アフリカ Africa,北アメリカ North America,南アメリカ South America,オセアニア Oceania,無国籍 No nationality
平成29,2017,出国, Departure,総数,Total,11348794,8223059,1195442,29984,1376114,104983,418540,672
平成30,2018,出国, Departure,総数,Total,12580147,9118000,1348002,33594,1502639,116889,460408,615
平成31･令和元,2019,出国, Departure,総数,Total,13212596,9319017,1540155,46162,1665492,118990,522116,664
平成31･令和元,2019,出国, Departure,東京,Tokyo,550,26,160,1,313,2,48,-
平成31･令和元,2019,出国, Departure,羽田（空港）,Haneda(Airport),4222198,2895432,573356,15984,540420,31204,165627,175
平成31･令和元,2019,出国, Departure,成田（空港）,Narita(Airport),8989848,6423559,966639,30177,1124759,87784,356441,489
平成29,2017,入国, Entry,総数,Total,11386683,8203922,1215078,30768,1403670,108006,424595,644
平成30,2018,入国, Entry,総数,Total,12648140,9117204,1372266,33966,1532701,123862,467553,588
平成31･令和元,2019,入国, Entry,総数,Total,13270885,9289927,1570652,48012,1705462,127238,528979,615
平成31･令和元,2019,入国, Entry,東京,Tokyo,4034,1387,2028,55,149,329,85,1
平成31･令和元,2019,入国, Entry,羽田（空港）,Haneda(Airport),4288078,2959811,573098,16066,545712,31495,161739,157
平成31･令和元,2019,入国, Entry,成田（空港）,Narita(Airport),8978773,6328729,995526,31891,1159601,95414,367155,457
,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,
4-26　港，地域別外国人出入国者数 (平成29～平成31･令和元年) 4-26 NUMBER OF FOREIGNERS ENTERING OR DEPARTING JAPAN BY REGION AND BY SEAPORT AND AIRPORT ( 2017-2019 ) ,,,,,,,,,,,,,
資料：法務省 「出入国管理統計年報」 Source: Ministry of Justice,,,,,,,,,,,,,
