年次,Year,港または空港,Seaport or airport ,総数 Total,入国者 Entry／計 Total,入国者 Entry／日本人 Japanese,入国者 Entry／外国人 Foreigner,入国者 Entry／協定該当者 a) 1),出国者 Departure／計 Total,出国者 Departure／日本人 Japanese,出国者 Departure／外国人 Foreigner,出国者 Departure／協定該当者 a) 1)
平成29,2017,総数,Total,45804387,22918869,11401733,11386683,130453,22885518,11406313,11348794,130411
平成30,2018,総数,Total,49324276,24695537,11912527,12648140,134870,24628739,11915579,12580147,133013
平成31･令和元,2019,総数,Total,51223877,25638883,12233587,13270885,134411,25584994,12242151,13212596,130247
平成31･令和元,2019,東京,Tokyo,10952,9448,5414,4034,-,1504,954,550,-
平成31･令和元,2019,羽田（空港）,Haneda(Airport),18323086,9153157,4823506,4288078,41573,9169929,4907934,4222198,39797
平成31･令和元,2019,成田（空港）,Narita(Airport),32889839,16476278,7404667,8978773,92838,16413561,7333263,8989848,90450
,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-25  港別出入国者数 （平成29～平成31･令和元年） 4-25 NUMBER OF PERSONS ENTERING OR DEPARTING JAPAN BY SEAPORT OR AIRPORT ( 2017-2019 ),,,,,,,,,,,,
a) Under the status of forces agreement,,,,,,,,,,,,
注 １) 日米間の地位協定及び日本国における国際連合の軍隊の地位に関する協定による軍人，軍属及びその家族で，軍艦又は軍用機によらないで，本邦へ入国又は本邦から出国した者をいう。,,,,,,,,,,,,
Note： 1) Members of foreign military forces， civilian component， and their families falling under the US-Japan Status of Forces Agreements and UN Status of Forces Agreement， who entered or departed Japan by means other than military ships or aircraft.,,,,,,,,,,,,
資料：法務省 「出入国管理統計年報」 Source: Ministry of Justice,,,,,,,,,,,,
