地域階層,地域コード,項番 Item number,地域,District,総床面積 Total floor space,新設 Newly constructed／総数 Total／戸数 Number,新設 Newly constructed／総数 Total／総床面積 Total floor space,新設 Newly constructed／持家 Owner's dwelling ／戸数 Number,新設 Newly constructed／持家 Owner's dwelling ／総床面積 Total floor space,新設 Newly constructed／貸家 For rent／戸数 Number,新設 Newly constructed／貸家 For rent／総床面積 Total floor space,新設 Newly constructed／給与住宅 Issued dwelling／戸数 Number,新設 Newly constructed／給与住宅 Issued dwelling／総床面積 Total floor space,新設 Newly constructed／分譲住宅 For sale／戸数 Number,新設 Newly constructed／分譲住宅 For sale／総床面積 Total floor space,その他 Others／総数 Total／戸数 Number,その他 Others／総数 Total／総床面積 Total floor space,その他 Others／持家 Owner's dwelling ／戸数 Number,その他 Others／持家 Owner's dwelling ／総床面積 Total floor space,その他 Others／貸家 For rent／戸数 Number,その他 Others／貸家 For rent／総床面積 Total floor space,その他 Others／給与住宅 Issued dwelling／戸数 Number,その他 Others／給与住宅 Issued dwelling／総床面積 Total floor space,その他 Others／分譲住宅 For sale／戸数 Number,その他 Others／分譲住宅 For sale／総床面積 Total floor space
0,13000,,総数,Tokyo-to,9004899,139015,8952150,15844,1802042,64621,2781235,1077,81754,57473,4287119,1449,52749,235,10952,419,8486,766,31677,29,1634
1,13100,,区部,All ku,6748026,110020,6714223,9798,1137832,54870,2333745,870,68546,44482,3174100,897,33803,114,6026,231,5028,528,21408,24,1341
3,13101,1,千代田区,Chiyoda-ku,38644,762,38548,6,932,416,20579,21,1164,319,15873,4,96,-,-,1,11,3,85,-,-
3,13102,2,中央区,Chuo-ku,430018,5039,429965,24,2655,698,29523,9,1221,4308,396566,3,53,-,-,-,-,3,53,-,-
3,13103,3,港区,Minato-ku,594293,5064,594042,87,16796,1802,191476,7,1445,3168,384325,6,251,1,16,1,27,4,208,-,-
3,13104,4,新宿区,Shinjuku-ku,332421,5750,331770,227,27752,3298,166586,61,3609,2164,133823,22,651,1,89,1,22,20,540,-,-
3,13105,5,文京区,Bunkyo-ku,139945,2395,139353,286,33731,1321,57657,43,4812,745,43153,20,592,3,88,5,137,12,367,-,-
3,13106,6,台東区,Taito-ku,230596,4732,229948,134,14068,1895,81695,3,488,2700,133697,24,648,1,11,1,136,17,402,5,99
3,13107,7,墨田区,Sumida-ku,211889,4565,211393,247,26719,2165,83365,10,308,2143,101001,19,496,-,-,2,28,17,468,-,-
3,13108,8,江東区,Koto-ku,316170,5661,310660,258,27740,2180,86100,4,457,3219,196363,43,5510,2,235,3,40,20,4508,18,727
3,13109,9,品川区,Shinagawa-ku,211201,4335,210454,493,53429,2719,98541,14,866,1109,57618,24,747,1,27,4,68,19,652,-,-
3,13110,10,目黒区,Meguro-ku,208401,3140,207620,417,57795,1761,74462,48,3553,914,71810,28,781,4,71,13,439,11,271,-,-
3,13111,11,大田区,Ota-ku,433805,7993,430712,819,93792,4173,156561,9,5792,2992,174567,78,3093,7,532,15,307,55,1739,1,515
3,13112,12,世田谷区,Setagaya-ku,557471,8349,553638,1555,187309,4935,223838,3,1640,1856,140851,85,3833,23,1395,18,488,44,1950,-,-
3,13113,13,渋谷区,Shibuya-ku,183842,2662,183617,203,28066,1735,83576,4,2752,720,69223,3,225,1,11,-,-,2,214,-,-
3,13114,14,中野区,Nakano-ku,220231,4126,219009,345,38682,2611,98024,86,7449,1084,74854,27,1222,4,318,4,58,19,846,-,-
3,13115,15,杉並区,Suginami-ku,328902,5322,327230,973,107961,2806,104377,92,3371,1451,111521,55,1672,15,785,15,269,25,618,-,-
3,13116,16,豊島区,Toshima-ku,207590,3705,206628,327,36523,2372,97706,8,1184,998,71215,8,962,6,255,-,-,2,707,-,-
3,13117,17,北区,Kita-ku,235536,4334,233492,379,40611,1883,69446,1,86,2071,123349,63,2044,3,137,6,114,54,1793,-,-
3,13118,18,荒川区,Arakawa-ku,128482,2041,127903,221,23602,720,24387,1,195,1099,79719,22,579,2,32,4,53,16,494,-,-
3,13119,19,板橋区,Itabashi-ku,311864,6351,310642,361,42734,2928,105362,58,3646,3004,158900,38,1222,3,150,6,191,29,881,-,-
3,13120,20,練馬区,Nerima-ku,399210,6231,396584,813,91395,3196,133450,119,9490,2103,162249,96,2626,9,675,51,1003,36,948,-,-
3,13121,21,足立区,Adachi-ku,443483,7702,439693,681,78266,4512,166758,22,2938,2487,191731,125,3790,17,755,46,1001,62,2034,-,-
3,13122,22,葛飾区,Katsushika-ku,261031,4873,260085,447,49811,2364,81012,14,442,2048,128820,37,946,7,334,9,137,21,475,-,-
3,13123,23,江戸川区,Edogawa-ku,323001,4888,321237,495,57463,2380,99264,233,11638,1780,152872,67,1764,4,110,26,499,37,1155,-,-
1,13200,,市部,All shi,2218860,28547,2200147,5878,646708,9652,442370,145,10488,12872,1100581,541,18713,117,4798,185,3417,234,10205,5,293
3,13201,1,八王子市,Hachioji-shi,233044,2982,230694,592,67093,871,35645,16,863,1503,127093,42,2350,14,515,16,232,12,1603,-,-
3,13202,2,立川市,Tachikawa-shi,101012,1593,100016,259,28090,484,20746,4,911,846,50269,30,996,3,197,10,242,16,514,1,43
3,13203,3,武蔵野市,Musashino-shi,92041,1239,91428,211,24991,638,33530,1,194,389,32713,15,613,4,128,3,38,8,447,-,-
3,13204,4,三鷹市,Mitaka-shi,105865,1486,105562,303,32338,463,19312,12,1230,708,52682,15,303,4,85,10,195,-,-,1,23
3,13205,5,青梅市,Ome-shi,67883,758,67507,222,23533,212,10380,1,25,323,33569,17,376,7,224,10,152,-,-,-,-
3,13206,6,府中市,Fuchu-shi,137692,1783,136945,320,36017,705,34753,5,411,753,65764,30,747,7,231,9,119,14,397,-,-
3,13207,7,昭島市,Akishima-shi,55316,668,53226,141,14827,261,13479,1,94,265,24826,17,2090,3,136,6,77,8,1877,-,-
3,13208,8,調布市,Chofu-shi,173164,2581,170741,285,30022,1030,45648,1,168,1265,94903,64,2423,6,337,7,191,51,1895,-,-
3,13209,9,町田市,Machida-shi,265694,3000,263526,705,81246,709,38173,4,458,1582,143649,60,2168,18,591,18,373,23,1187,1,17
3,13210,10,小金井市,Koganei-shi,65019,874,64771,241,24208,310,13477,1,114,322,26972,8,248,4,186,3,51,1,11,-,-
3,13211,11,小平市,Kodaira-shi,96210,1304,95637,291,30962,554,24137,19,1256,440,39282,21,573,4,264,11,165,6,144,-,-
3,13212,12,日野市,Hino-shi,112585,1455,111943,322,36063,525,24423,8,478,600,50979,33,642,4,217,16,221,13,204,-,-
3,13213,13,東村山市,Higashimurayama-shi,83961,1073,83730,228,23507,249,7932,26,1441,570,50850,10,231,2,37,3,58,5,136,-,-
3,13214,14,国分寺市,Kokubunji-shi,60114,786,60002,187,19080,273,11828,-,-,326,29094,8,112,2,45,4,45,2,22,-,-
3,13215,15,国立市,Kunitachi-shi,26446,354,26196,97,11427,160,5931,2,217,95,8621,8,250,3,86,4,97,1,67,-,-
3,13218,16,福生市,Fussa-shi,23046,250,22538,81,9133,87,5466,2,252,80,7687,18,508,2,88,7,104,9,316,-,-
3,13219,17,狛江市,Komae-shi,40779,580,40638,130,13799,229,9167,1,141,220,17531,7,141,1,51,3,38,3,52,-,-
3,13220,18,東大和市,Higashiyamato-shi,37855,465,37616,123,13362,172,7849,2,208,168,16197,12,239,1,43,2,22,9,174,-,-
3,13221,19,清瀬市,Kiyose-shi,46238,599,45828,92,10897,247,11077,1,128,259,23726,14,410,4,158,4,112,6,140,-,-
3,13222,20,東久留米市,Higashikurume-shi,64840,753,64525,215,23281,138,5786,1,112,399,35346,11,315,4,151,7,164,-,-,-,-
3,13223,21,武蔵村山市,Musashimurayama-shi,34704,355,34530,130,13644,27,1465,-,-,198,19421,5,174,5,174,-,-,-,-,-,-
3,13224,22,多摩市,Tama-shi,58880,943,57954,68,8862,683,30463,1,132,191,18497,44,926,3,124,6,137,35,665,-,-
3,13225,23,稲城市,Inagi-shi,65142,707,64461,130,14683,146,7597,-,-,431,42181,21,681,2,75,7,93,10,303,2,210
3,13227,24,羽村市,Hamura-shi,31800,322,31667,87,10747,81,5451,-,-,154,15469,6,133,1,54,5,79,-,-,-,-
3,13228,25,あきる野市,Akiruno-shi,45319,451,45307,190,21749,62,3172,-,-,199,20386,1,12,-,-,-,-,1,12,-,-
3,13229,26,西東京市,Nishitokyo-shi,94211,1186,93159,228,23147,336,15483,36,1655,586,52874,24,1052,9,601,14,412,1,39,-,-
1,13300,,郡部,All gun,28903,297,28734,120,12882,58,3414,-,-,119,12438,7,169,4,128,3,41,-,-,-,-
1,13350,,島部,All islands,9110,151,9046,48,4620,41,1706,62,2720,-,-,4,64,-,-,-,-,4,64,-,-
2,13360,1,大島支庁,Oshima-shicho,4165,57,4165,28,2833,20,1032,9,300,-,-,-,-,-,-,-,-,-,-,-,-
2,13380,2,三宅支庁,Miyake-shicho,644,14,627,1,106,2,65,11,456,-,-,1,17,-,-,-,-,1,17,-,-
2,13400,3,八丈支庁,Hachijo-shicho,3109,49,3062,19,1681,4,281,26,1100,-,-,3,47,-,-,-,-,3,47,-,-
2,13420,4,小笠原支庁,Ogasawara-shicho,1192,31,1192,-,-,15,328,16,864,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,
3-11  地域別着工住宅数（平成31・令和元年）3-11  DWELLING  CONSTRUCTION STARTS BY DISTRICT ( 2019 ),,,,,,,,,,,,,,,,,,,,,,,,,
