年次,Year,月次,Month,調布飛行場 Chofu Airport／旅客数 Passengers／乗客 Boarding,調布飛行場 Chofu Airport／旅客数 Passengers／降客 Deboarding,大島空港 Oshima Airport／旅客数 Passengers／乗客 Boarding,大島空港 Oshima Airport／旅客数 Passengers／降客 Deboarding,大島空港 Oshima Airport／貨物 Freight／積荷 Loaded(t),大島空港 Oshima Airport／貨物 Freight／降荷 Unloaded(t),大島空港 Oshima Airport／郵便物 Mail／積荷 Loaded(t),大島空港 Oshima Airport／郵便物 Mail／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／旅客数 Passengers／乗客 Boarding,三宅島空港 Miyakejima Airport／旅客数 Passengers／降客 Deboarding,三宅島空港 Miyakejima Airport／貨物 Freight／積荷 Loaded(t),三宅島空港 Miyakejima Airport／貨物 Freight／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／積荷 Loaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／旅客数 Passengers／乗客 Boarding,八丈島空港 Hachijojima Airport／旅客数 Passengers／降客 Deboarding,八丈島空港 Hachijojima Airport／貨物 Freight／積荷 Loaded(t),八丈島空港 Hachijojima Airport／貨物 Freight／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／積荷 Loaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／降荷 Unloaded(t),新島空港 Niijima Airport／旅客数 Passengers／乗客 Boarding,新島空港 Niijima Airport／旅客数 Passengers／降客 Deboarding,新島空港 Niijima Airport／貨物 Freight／積荷 Loaded(t),新島空港 Niijima Airport／貨物 Freight／降荷 Unloaded(t),新島空港 Niijima Airport／郵便物 Mail／積荷 Loaded(t),新島空港 Niijima Airport／郵便物 Mail／降荷 Unloaded(t),神津島空港 Kozushima Airport／旅客数 Passengers／乗客 Boarding,神津島空港 Kozushima Airport／旅客数 Passengers／降客 Deboarding,神津島空港 Kozushima Airport／貨物 Freight／積荷 Loaded(t),神津島空港 Kozushima Airport／貨物 Freight／降荷 Unloaded(t),神津島空港 Kozushima Airport／郵便物 Mail／積荷 Loaded(t),神津島空港 Kozushima Airport／郵便物 Mail／降荷 Unloaded(t)
平成27,2015,,,41129,53387,15246,14521,4,19,4,24,14211,7942,8,1,-,-,89784,82129,768,304,16,39,14759,17412,5,24,-,-,11279,9175,2,1,-,-
平成28,2016,,,41290,54057,10058,8701,2,14,-,-,14984,8156,3,2,-,-,94405,85582,756,272,16,40,17905,15153,5,22,-,-,11301,9409,1,0,-,-
平成29,2017,,,44233,56523,9915,8721,2,14,-,-,16143,9606,2,3,-,-,100584,91097,746,261,18,42,17964,15149,4,18,-,-,12715,10902,2,1,-,-
平成30,2018,,,43763,54949,9566,8343,2,14,-,-,16328,10085,1,3,-,-,103538,93522,669,239,17,43,17724,15344,3,16,-,-,11583,10193,2,0,-,-
平成31･令和元,2019,,,42927,52418,8259,7474,1,13,-,-,15733,10140,0,2,-,-,105139,94562,604,241,17,46,16890,14829,3,16,-,-,11536,10484,2,1,-,-
平成31,2019,1,Jan.,3467,4325,668,537,148,1022,-,-,1250,850,2,188,-,-,7587,6451,44899,21774,1462,4099,1426,1231,154,1191,-,-,981,849,177,60,-,-
平成31,2019,2,Feb.,3149,4044,582,555,95,1028,-,-,1229,741,6,177,-,-,6189,5790,39882,14777,1266,3786,1351,1118,114,1157,-,-,882,735,150,61,-,-
平成31,2019,3,Mar.,3860,5062,809,694,103,1071,-,-,1434,867,1,205,-,-,9175,8195,55650,17250,1668,3631,1584,1277,287,1311,-,-,1235,1022,142,21,-,-
平成31,2019,4,Apr.,3649,4110,671,680,244,1061,-,-,1335,859,1,171,-,-,7898,7668,46565,15897,1367,3676,1308,1275,296,1230,-,-,796,835,172,25,-,-
令和元,2019,5,May,3809,4721,709,633,150,1100,-,-,1443,893,9,209,-,-,9396,8112,63423,19944,1340,3726,1485,1335,276,1290,-,-,1084,948,292,35,-,-
令和元,2019,6,June,3112,3670,568,487,78,1027,-,-,1265,786,1,165,-,-,6652,5966,50556,23055,1315,3884,1108,1090,212,1213,-,-,729,749,180,201,-,-
令和元,2019,7,July,3413,3842,593,541,75,1043,-,-,1166,803,1,224,-,-,9569,8916,47789,17204,1312,3588,1274,1202,208,1334,-,-,809,867,174,46,-,-
