年度末,End of fiscal year,月末 ,End of month,銀行数 Number of banks,店舗数 Number of branches,資産 Assets／貸出金 Loans and bills discounted／総額 Total,資産 Assets／貸出金 Loans and bills discounted／割引手形 Bills discounted,資産 Assets／貸出金 Loans and bills discounted／手形貸付 Loans on bills,資産 Assets／貸出金 Loans and bills discounted／証書貸付 Loans on deeds,資産 Assets／貸出金 Loans and bills discounted／当座貸越 Overdrafts,資産 Assets／貸出金 Loans and bills discounted／(うち) 23区内 (of which) Ku area,資産 Assets／ｺｰﾙﾛｰﾝ･買入手形 Call loans and bills bought,資産 Assets／商品有価証券 Trading account securities,資産 Assets／有価証券 Securities,資産 Assets／現金・預け金 Cash and due from banks／現金 Cash,資産 Assets／現金・預け金 Cash and due from banks／(うち) 小切手・手形 (of which) Checks and bills,資産 Assets／現金・預け金 Cash and due from banks／預け金 Due from banks,負債 Liabilities／預金 Deposits／総額 Total,負債 Liabilities／預金 Deposits／要求払預金 Demand deposits,負債 Liabilities／預金 Deposits／定期性預金 Time deposits,負債 Liabilities／預金 Deposits／その他預金 Other deposits,負債 Liabilities／預金 Deposits／(うち) 一般預金 (of which) Private deposits,負債 Liabilities／預金 Deposits／(うち) 23区内 (of which) Ku area,負債 Liabilities／譲渡性預金 Negotiable  certificates of deposit ,負債 Liabilities／ｺｰﾙﾏﾈｰ・売渡手形 Call money and bills sold,負債 Liabilities／借用金 Borrowed money
平成27,2015,総数,Total,98,1152,1935843,3114,33136,1592299,307184,1872709,15806,3324,1492346,26064,9804,1342943,2200506,1368139,661177,171105,1985175,2014431,246309,45226,336049
平成28,2016,総数,Total,98,1160,1998968,2696,29904,1652622,313635,1935001,11641,741,1429516,25780,8338,1709827,2357380,1547766,637571,171962,2115373,2165234,235536,26487,469465
平成29,2017,総数,Total,98,1169,2032539,2792,28078,1683422,318136,1968136,23156,3052,1465186,19000,3988,1922175,2478807,1670719,632334,175674,2230031,2280113,216535,39144,511927
平成30,2018,総数,Total,97,1180,2109178,2477,28781,1750441,327369,2043843,8764,1597,1523598,20420,4221,1973457,2599191,1788552,626189,184371,2301221,2396263,199318,39880,543354
令和元,2019,総数,Total,97,1196,2164693,1948,22046,1802298,338289,2098834,24268,1850,1566314,24461,7547,1902465,2692194,1886575,606794,198753,2416195,2483436,195772,65142,770110
平成31,2019,4,Apr.,,1189,2124896,2355,22609,1772959,326858,2059804,14164,2737,1501290,27803,9928,1898030,2594093,1790918,620354,182727,2337142,2389667,201080,46824,543889
令和元,2019,5,May,,1189,2103697,1976,21718,1766535,313353,2038876,21116,3495,1465928,25046,8680,1975224,2608717,1734876,624126,249634,2304087,2406311,193085,69967,539779
令和元,2019,6,June,,1189,2114689,2235,22574,1760564,329190,2049719,22146,4423,1477569,18652,2966,1965300,2528669,1731650,625178,171747,2281491,2323640,193950,65811,538288
令和元,2019,7,July,,1189,2105750,1928,21192,1761936,320589,2040967,17179,3203,1460771,24280,7491,2000678,2570108,1721813,625933,222277,2297884,2366220,209050,86328,556839
令和元,2019,8,Aug.,,1189,2095793,2107,21077,1758914,313578,2030958,24612,4206,1470589,18113,2943,1983661,2536706,1722751,625877,188001,2282513,2331819,209915,86079,552303
令和元,2019,9,Sept.,,1189,2117405,1951,22528,1763491,329326,2052348,15537,2693,1529648,24041,8128,1989196,2592398,1768520,616691,207111,2320662,2388697,211248,68705,559684
令和元,2019,10,Oct.,,1199,2109509,1875,21438,1771376,314721,2044613,10419,2018,1479971,22042,6540,2010575,2589884,1762148,616510,211149,2218126,2385453,217960,72408,570441
令和元,2019,11,Nov.,,1201,2121311,2069,21792,1776873,320477,2056165,18373,2360,1501205,22587,8028,2000541,2597404,1781328,607143,208850,2322085,2392570,223890,65055,571289
令和元,2019,12,Dec.,,1201,2138187,2170,23334,1780395,332176,2072808,19700,2533,1516756,19068,2245,1926853,2532258,1745009,606423,180742,2282693,2324751,211296,49466,568093
令和2,2020,1,Jan.,,1200,2135008,1864,20763,1784794,327480,2070091,21799,1439,1487968,20092,5146,1906702,2586110,1748923,607081,230029,2316015,2380005,214135,46046,575479
令和2,2020,2,Feb.,,1200,2131579,2078,22387,1783277,323729,2066547,23110,1684,1480536,20895,6691,1915427,2576789,1770968,606131,199615,2316062,2370021,206616,48683,580598
令和2,2020,3,Mar.,,1200,2164693,1948,22046,1802298,338289,2098834,24268,1850,1566314,24461,7547,1902465,2692194,1886575,606794,198753,2416195,2483436,195772,65142,770110
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-1  銀行の主要勘定 (平成27～令和元年度末) 15-1  MAIN ACCOUNTS OF BANKS ( End of Fiscal Years 2015-2019 ),,,,,,,,,,,,,,,,,,,,,,,,,,
この表の「銀行」とは都市銀行，地方銀行，第二地方銀行協会加盟の地方銀行，信託銀行，　新生銀行，あおぞら銀行及び農林中央金庫をいう。,,,,,,,,,,,,,,,,,,,,,,,,,,
"In this table， ""banks"" refer to city banks， regional banks， member banks of the Second Association of Regional Banks (regional banks II)， trust banks， Shinsei Bank， Aozora Bank and Norinchukin Bank.",,,,,,,,,,,,,,,,,,,,,,,,,,
資料：（一社）全国銀行協会パブリック・リレーション部 Source: Japanese Bankers Association,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位  億円）(In hundred millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,
