年度,Fiscal year,地域階層,地域コード,項番 Item number,地域,District,ごみ Refuse volume／排出量 Discharged／総計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／可燃ごみ Combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量Volume collected and carried-in／不燃ごみ Non-combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／粗大ごみ Large-sized refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／資源ごみ Recyclable refuse,ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Collected and carried-in refuse／有害ごみ Toxic refuse (t),ごみ Refuse volume／排出量 Discharged／集団回収量 Group-collection recyclables (t),ごみ Refuse volume／排出量 Discharged／ピックアップ回収量 Recyclables recovered from refuse (t),ごみ Refuse volume／中間処分量 Intermediate disposal／焼却 Incineration (t),ごみ Refuse volume／中間処分量 Intermediate disposal／その他 Others (t),ごみ Refuse volume／最終処分量 Final disposal (t),ごみ Refuse volume／総資源化量 Total recycled amount (t),し尿 Human waste／排出量 Discharged (kl),し尿 Human waste／処分量 Disposed (kl)
平成28,2016,0,13000,,総数,Tokyo-to,4450835,4162610,3388667,111515,86774,573982,1673,266234,21988,3507723,820393,352982,1010519,88610,88610
平成29,2017,0,13000,,総数,Tokyo-to,4437677,4156525,3392611,107807,87294,567196,1617,255668,25483,3513549,810066,343519,1000505,82617,82617
平成30,2018,0,13000,,総数,Tokyo-to,4413965,4138509,3381330,102120,89292,564083,1684,246332,29122,3505288,801653,307852,973138,81450,81450
平成30,2018,1,13100,,区部,All ku　,3279777,3076924,2652575,42209,59512,322629,-,173730,29122,2708351,473567,304265,554181,13333,13333
平成30,2018,2,13101,1,千代田区,Chiyoda-ku ,20845,19856,14577,592,509,4179,-,990,-,…,…,…,…,…,…
平成30,2018,2,13102,2,中央区,Chuo-ku,48143,43238,33018,1377,1502,7342,-,4894,11,…,…,…,…,…,…
平成30,2018,2,13103,3,港区,Minato-ku ,76177,68973,50826,1530,1624,14992,-,5851,1353,…,…,…,…,…,…
平成30,2018,2,13104,4,新宿区,Shinjuku-ku,90322,84198,66522,1984,2351,13340,-,5599,525,…,…,…,…,…,…
平成30,2018,2,13105,5,文京区,Bunkyo-ku ,55503,50651,39757,1486,1314,8093,-,4493,359,…,…,…,…,…,…
平成30,2018,2,13106,6,台東区,Taito-ku ,53967,48827,38847,2092,1457,6432,-,4958,182,…,…,…,…,…,…
平成30,2018,2,13107,7,墨田区,Sumida-ku,67134,61774,50754,1608,2098,7313,-,5274,86,…,…,…,…,…,…
平成30,2018,2,13108,8,江東区,Koto-ku,123796,107677,88624,-,3112,15940,-,13077,3042,…,…,…,…,…,…
平成30,2018,2,13109,9,品川区,Shinagawa-ku,96866,88194,67814,2703,2304,15372,-,8090,582,…,…,…,…,…,…
平成30,2018,2,13110,10,目黒区,Meguro-ku,71166,59654,48584,2127,2305,6638,-,11429,84,…,…,…,…,…,…
平成30,2018,2,13111,11,大田区,Ota-ku,168320,154018,124335,2678,3895,23109,-,12120,2183,…,…,…,…,…,…
平成30,2018,2,13112,12,世田谷区,Setagaya-ku,220499,209837,162008,4360,7095,36374,-,7883,2779,…,…,…,…,…,…
平成30,2018,2,13113,13,渋谷区,Shibuya-ku,64016,61667,47331,1877,1483,10976,-,2349,-,…,…,…,…,…,…
平成30,2018,2,13114,14,中野区,Nakano-ku ,78514,64545,53899,1412,2020,7214,-,12658,1311,…,…,…,…,…,…
平成30,2018,2,13115,15,杉並区,Suginami-ku,133865,126557,90778,2752,3575,29452,-,5833,1476,…,…,…,…,…,…
平成30,2018,2,13116,16,豊島区,Toshima-ku,68731,64182,51457,318,2154,10253,-,2890,1659,…,…,…,…,…,…
平成30,2018,2,13117,17,北区,Kita-ku,84362,77226,62456,1716,1752,11301,-,6045,1091,…,…,…,…,…,…
平成30,2018,2,13118,18,荒川区,Arakawa-ku,52808,41744,40276,214,1087,168,-,9481,1583,…,…,…,…,…,…
平成30,2018,2,13119,19,板橋区,Itabashi-ku,134157,118026,101240,335,3365,13086,-,12784,3347,…,…,…,…,…,…
平成30,2018,2,13120,20,練馬区,Nerima-ku,168347,157059,118746,4961,4558,28793,-,10347,942,…,…,…,…,…,…
平成30,2018,2,13121,21,足立区,Adachi-ku,160250,145197,126857,261,2831,15247,-,10250,4804,…,…,…,…,…,…
平成30,2018,2,13122,22,葛飾区,Katsushika-ku,108532,101823,78670,3345,2855,16952,-,6436,273,…,…,…,…,…,…
