年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,地方税 Local taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税 交付金 Local consumption tax allocations,ｺﾞﾙﾌ場利用税交付金 Golf facilities tax allocations,特別地方消費税交付金 Special local consumption tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,自動車税環境性能割交付金 Motor vehicle tax (environmental excite),地方特例交付金 Special local grants,地方交付税 Local allocation tax,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,国有提供施設等所在市町村助成交付金 h),都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成29,2017,13200,,市部,All shi,1580644,719510,6495,1295,10662,85522,407,-,3724,…,3100,36723,459,15918,16245,14941,271306,2903,206855,6399,3059,50982,44560,16159,63421
平成30,2018,13200,,市部,All shi,1589009,726643,6537,1366,8250,72960,403,-,3895,…,3561,40408,433,17119,16426,15164,268864,2887,211017,6288,2686,42026,50402,17616,74058
令和元,2019,13200,,市部,All shi,1631301,737307,6658,1022,8205,69832,401,-,1956,690,9999,42490,425,13097,14924,16061,284002,3027,225162,3864,3103,47537,46667,18734,76138
令和元,2019,13201,1,八王子市,Hachioji-shi,209499,91631,1011,121,970,9843,92,-,297,105,1194,5480,70,1394,1805,2529,38762,-,27732,204,317,2358,4267,1513,17804
令和元,2019,13202,2,立川市,Tachikawa-shi,80668,40705,272,43,346,3393,-,-,80,28,435,66,23,500,825,562,15500,272,9447,45,77,159,4749,777,2365
令和元,2019,13203,3,武蔵野市,Musashino-shi,71391,41681,191,58,470,2706,-,-,56,20,269,15,12,434,859,729,9319,-,8128,127,77,2419,2823,506,491
令和元,2019,13204,4,三鷹市,Mitaka-shi,73148,38512,265,59,471,3074,-,-,78,27,475,40,18,601,904,480,11566,-,9101,217,327,2848,1903,477,1706
令和元,2019,13205,5,青梅市,Ome-shi,51857,19735,279,26,207,2344,52,-,80,28,251,3468,18,717,444,565,9860,-,7621,66,43,1096,926,1596,2432
令和元,2019,13206,6,府中市,Fuchu-shi,105551,52774,385,67,536,4544,-,-,114,39,732,54,22,738,1387,1109,17529,4,12290,568,1246,1993,2864,4580,1974
令和元,2019,13207,7,昭島市,Akishima-shi,46589,19840,170,23,187,1951,27,-,50,18,250,459,13,455,430,453,9869,14,7451,29,83,1196,1912,391,1317
令和元,2019,13208,8,調布市,Chofu-shi,96470,48606,340,67,536,3798,10,-,99,35,616,86,20,1256,1160,664,14686,-,12873,187,180,2682,4606,689,3276
