年度,Fiscal year,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets
平成27,2015,総数,Total,,,,3391174,1993399,1397776
平成28,2016,総数,Total,,,,3422984,2013516,1409467
平成29,2017,総数,Total,,,,3471048,2041568,1429454
平成30,2018,総数,Total,,,,3509798,2064649,1445124
令和元,2019,総数,Total,,,,3484080,2089331,1394728
令和元,2019,うち区部,Ku area only,,,,2927087,1728570,1198505
令和元,2019,東海道本線,Tokaido Line,,,※,721161,438062,283098
令和元,2019,東海道本線,Tokaido Line,東京,Tokyo,,169308,90927,78380
令和元,2019,東海道本線,Tokaido Line,有楽町,Yurakucho,,61396,35190,26206
令和元,2019,東海道本線,Tokaido Line,新橋,Shimbashi,,101870,64931,36939
令和元,2019,東海道本線,Tokaido Line,浜松町,Hamamatsucho,,59894,38586,21307
令和元,2019,東海道本線,Tokaido Line,田町,Tamachi,,58135,41773,16362
令和元,2019,東海道本線,Tokaido Line,品川,Shinagawa,,138105,80620,57486
令和元,2019,東海道本線,Tokaido Line,大井町,Oimachi,,38291,23642,14648
令和元,2019,東海道本線,Tokaido Line,大森,Omori,,35251,23204,12047
令和元,2019,東海道本線,Tokaido Line,蒲田,Kamata,,53046,35382,17664
令和元,2019,東海道本線,Tokaido Line,西大井,Nishi-oi,,5866,3807,2059
令和元,2019,中央本線,Chuo Line,,,,761595,472637,288953
令和元,2019,中央本線,Chuo Line,神田,Kanda,※,39037,22662,16374
令和元,2019,中央本線,Chuo Line,御茶ノ水,Ochanomizu,※,37911,23601,14310
令和元,2019,中央本線,Chuo Line,水道橋,Suidobashi,※,29874,16116,13758
令和元,2019,中央本線,Chuo Line,飯田橋,Iidabashi,※,33051,21727,11324
令和元,2019,中央本線,Chuo Line,市ケ谷,Ichigaya,※,22947,15288,7660
令和元,2019,中央本線,Chuo Line,四ツ谷,Yotsuya,※,36166,24549,11616
