年次及び種類,Year and kind,月末,End of month,製造工業 Manufacturing,製造工業 Manufacturing／鉄鋼業 Iron and steel,製造工業 Manufacturing／非鉄金属工業 Non-ferrous metals,製造工業 Manufacturing／金属製品工業 Fabricated metals,製造工業 Manufacturing／汎用・生産用・業務用機械工業 a),製造工業 Manufacturing／汎用・生産用・業務用機械工業 a)／汎用機械工業 General-purpose machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 a)／生産用機械工業 Production machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 a)／業務用機械工業 Business use machinery,製造工業 Manufacturing／電子部品・デバイス工業 Electronic parts and devices,製造工業 Manufacturing／電気機械工業 Electrical machinery,製造工業 Manufacturing／情報通信機械工業 b),製造工業 Manufacturing／輸送機械工業 Transport equipment,製造工業 Manufacturing／窯業・土石製品工業 Ceramics， stone and clay products,製造工業 Manufacturing／化学工業 Chemicals,製造工業 Manufacturing／プラスチック製品工業 Plastic products,製造工業 Manufacturing／紙・紙加工品工業 Paper and paper products,製造工業 Manufacturing／繊維工業 Textiles,製造工業 Manufacturing／食料品工業 Foods,製造工業 Manufacturing／その他工業 Other manufacturing,製造工業 Manufacturing／その他工業 Other manufacturing／ゴム製品工業 Rubber products,製造工業 Manufacturing／その他工業 Other manufacturing／皮革製品工業 Leather products,製造工業 Manufacturing／その他工業 Other manufacturing／家具工業 Furniture,製造工業 Manufacturing／その他工業 Other manufacturing／木材・木製品工業 Wood and wood products,製造工業 Manufacturing／その他工業 Other manufacturing／その他製品工業 Other products
品目数,Items,,,67,8,5,3,11,2,3,6,1,2,1,1,10,7,2,3,2,2,9,2,2,1,2,2
ウェイト,Weight,,,10000,410.1,290.3,370.6,2503.4,209.6,644.4,1649.4,203.6,855.6,895,1074.1,706.8,845.5,241.2,66.9,173.9,175.7,1187.3,137.2,389.5,130.3,42.2,488.1
平成27,2015,,,99.7,112.5,101.3,81.1,111.2,74.4,139.8,104.7,100.1,94.3,99.2,92,106.5,79,107.4,102.1,102,66.4,101.3,100,101.3,113,111.5,97.7
平成28,2016,,,97.2,112.4,105,102,91.7,81.6,151.7,69.6,55.6,105,101.5,88.7,111.6,76.4,115.2,90.8,89.2,69.3,114,100,108.4,115.6,99.7,123.3
平成29,2017,,,96.9,100.4,103.4,90.4,106.8,150.1,170.9,76.3,56.1,73.7,94.1,84.2,116.7,80,118.4,100.5,105.5,62.3,112.4,100,118.8,129.1,63.2,110.5
平成30,2018,,,108.3,100.8,123,102,107.3,166,171.8,74.7,29.3,84.5,115.4,114.2,120.8,90.1,116.8,113.8,111.3,59,141.2,12.5,144.8,113.7,70.4,187.9
平成31･令和元,2019,,,99.1,110.7,127.5,85.5,90.2,97.8,174.2,56.4,17.7,92,100,90,126.1,90.9,115.2,99.2,124.3,68.8,125.2,12.5,122.7,198.3,88,142.6
平成31,2019,1,Jan.,107.6,97.9,121.6,104.3,102.7,159.3,141.4,77.1,9.1,85,115.5,128.2,124.6,89.4,115.6,104.4,127.5,88.4,125.7,13.2,130.5,107.8,82.6,160.3
平成31,2019,2,Feb.,110.2,100.5,121.5,103.2,106.9,137.3,147.8,82.1,17.9,80.9,118.2,137.8,126.2,87.7,115.7,101.1,128.9,88.1,135.6,13.9,134,113.5,96.2,178
平成31,2019,3,Mar.,108.6,106.5,122,101.6,96.1,120,132.2,76.7,21.8,79.6,113.9,150.2,127,85.5,116.9,98.6,134.1,88.9,125.7,14.4,135.9,113.8,95.2,153.5
