年度,Fiscal year,系統,Line,営業キロ Length of line(km),駅数 Stations,在籍車両数／Vehicles owned,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets,使用車両数 Vehicles used,走行キロ数 Distance traveled／列車 Trains(km),走行キロ数 Distance traveled／客車 Vehicles(km),輸送人員 Passengers 1),旅客運賃収入 Passenger fare revenue(千円 1000yen),使用電力量 Electric power used(Kwh)
平成27,2015,総数,Total,106.2,105,1146,6528128,4179198,2348930,337908,15005822,115813123,936899885,144872953,241504843
平成28,2016,総数,Total,106.2,105,1132,6699846,4308009,2391837,340756,15022075,117161240,959949517,147769075,241139060
平成29,2017,総数,Total,106.2,105,1142,6920468,4479676,2440792,348702,14985474,117668756,990223782,150957717,239839716
平成30,2018,総数,Total,106.2,105,1174,7111076,4608597,2502479,344942,15032237,118601619,1015046543,154647864,242169959
令和元,2019,総数,Total,106.2,105,1174,7182868,4713438,2469430,350960,15191785,119529545,1021366650,155508197,244149612
令和元,2019,浅草線,Asakusa Line,18.3,20,224,1487072,922746,564326,69388,2822513,22580101,281085922,35279091,41911898
令和元,2019,三田線,Mita Line,26.5,27,222,1656725,1160568,496157,63348,3529828,21178970,248330754,32876179,40000614
令和元,2019,新宿線,Shinjuku Line,20.7,20,264,1933435,1293582,639853,80782,2953029,28679153,275681931,40575167,57521600
令和元,2019,大江戸線,Oedo Line,40.7,38,464,2105636,1336542,769094,137442,5886415,47091321,358023426,46777760,104715500
,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,
4-14  地下鉄の運輸成績 (2)  都営　 (平成27～令和元年度） 4-14 OPERATIONS OF SUBWAYS (2) TOEI SUBWAY ( Fiscal Years 2015-2019 ),,,,,,,,,,,,,,,
注 1) 「輸送人員」の総数は乗り換えによる重複分があるため， 内訳の計と一致しない。,,,,,,,,,,,,,,,
2) 新宿線の使用車両数， 旅客運賃収入及び使用電力量には， 都外分を含む。,,,,,,,,,,,,,,,
Note: 1) The total number of passengers does not match the total of the breakdowns due to duplication of transit passenger numbers.,,,,,,,,,,,,,,,
2) The railway vehicles used， passenger fare revenue， power used for the Shinjuku Line include figures from outside Tokyo.,,,,,,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,,,,,
