年度,Fiscal year,会社名,Company name,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
平成27,2015,総数,Total,,,,,,3522765,2006648,1516117,3522758,2006648,1516110
平成28,2016,総数,Total,,,,,,3602048,2058723,1543325,3602021,2058723,1543298
平成29,2017,総数,Total,,,,,,3699591,2122891,1576700,3699357,2122891,1576466
平成30,2018,総数,Total,,,,,,3782755,2172875,1609878,3782572,2172875,1609696
令和元,2019,総数,Total,,,,,,3789500,2208955,1580545,3789399,2208953,1580446
令和元,2019,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,,,,,,2626378,1512377,1114001,2626082,1512377,1113705
令和元,2019,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,,,※,293002,135479,157523,293406,135479,157927
令和元,2019,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,渋谷,Shibuya,◎,40188,19475,20713,40479,19475,21004
令和元,2019,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,表参道,Omote-Sando,◎,11329,3737,7592,11837,3737,8100
令和元,2019,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,外苑前,Gaiemmae,,14581,6984,7597,15554,6984,8570
令和元,2019,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,青山一丁目,Aoyama-Itchome,◎,10139,4755,5384,10146,4755,5391
令和元,2019,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,赤坂見附,Akasaka-Mitsuke,◎,10670,5495,5175,10407,5495,4912
令和元,2019,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,溜池山王,Tameike-Sanno,◎,13144,7201,5943,12492,7201,5291
令和元,2019,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,虎ノ門,Toranomon,,20249,12286,7963,20013,12286,7727
令和元,2019,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,新橋,Shimbashi,,45541,23918,21623,44899,23918,20981
令和元,2019,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,銀座,Ginza,◎,17374,6065,11309,18040,6065,11975
令和元,2019,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,京橋,Kyobashi,,11566,5978,5588,11746,5978,5768
令和元,2019,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,日本橋,Nihombashi,◎,13554,5311,8243,12689,5311,7378
令和元,2019,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,三越前,Mitsukoshimae,◎,13389,5871,7518,12456,5871,6585
令和元,2019,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,神田,Kanda,,11532,4667,6865,11277,4667,6610
令和元,2019,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,末広町,Suehirocho,,4833,1710,3123,4935,1710,3225
令和元,2019,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,上野広小路,Ueno-Hirokoji,◎,4275,1180,3095,4554,1180,3374
令和元,2019,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,上野,Ueno,◎,21571,9544,12027,21944,9544,12400
