産業,Industry,組合数 Unions／平成30年 2018,組合数 Unions／令和元年 2019,組合員数 No. of Members／平成30年 2018,組合員数 No. of Members／令和元年 2019
総数,Total,7093,6907,2313135,2332386
農業，林業,Agriculture and forestry,4,4,155,150
漁業,Fisheries,14,14,1123,1122
鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,8,8,1208,1266
建設業,Construction,342,337,215250,218566
製造業,Manufacturing,1171,1154,333870,345200
電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,139,132,18573,18328
情報通信業,Information and communications,538,492,196620,193295
運輸業，郵便業,Transport and postal activities ,1219,1178,213446,216428
卸売業，小売業,Wholesale and retail trade,857,853,327224,327251
金融業，保険業,Finance and insurance,493,496,282402,280505
不動産業，物品賃貸業,Real estate and goods rental and leasing,76,71,14851,15290
学術研究，専門・技術サービス業,Scientific research， professional and technical services,254,245,36064,35771
宿泊業，飲食サービス業,Accommodations， eating and drinking services,102,97,183004,178738
生活関連サービス業，娯楽業,Living-related and personal services and amusement services,134,126,60369,61468
教育，学習支援業,Education， learning support,423,413,85826,84901
医療，福祉,Medical， health care and welfare,434,431,125239,134843
複合サービス事業,Compound services,64,64,6637,6670
サービス業 (他に分類されないもの),Services， n.e.c.,392,370,89581,92881
公務 (他に分類されるものを除く),Government， except elsewhere classified,266,265,93307,90892
分類不能の産業,Industries unable to classify,163,157,28386,28821
,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　7  労働 7  LABOR,,,,,
7-7  産業別労働組合組織状況 （平成30，令和元年） 7-7  LABOR UNIONS BY INDUSTRY ( 2018 and 2019 ),,,,,
6月30日現在,,,,,
Figures are as of June 30.,,,,,
資料：都産業労働局雇用就業部労働環境課 Source: Bureau of Industrial and Labor Affairs， TMG,,,,,
