年度末,End of fiscal year,地域コード,項番 Item number,地域,District,総額 Total value,行政財産 Administrative assets／総額 Total value,行政財産 Administrative assets／土地 Land／面積 Area(m2),行政財産 Administrative assets／土地 Land／価格 Value,行政財産 Administrative assets／建物 Buildings／延面積 Total floor space(m2),行政財産 Administrative assets／建物 Buildings／価格 Value,行政財産 Administrative assets／工作物 Structures,行政財産 Administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／総額 Total value,普通財産 Non-administrative assets／土地 Land／面積 Area(m2),普通財産 Non-administrative assets／土地 Land／価格 Value,普通財産 Non-administrative assets／建物 Buildings／延面積 Total floor space (m2),普通財産 Non-administrative assets／建物 Buildings／価格 Value,普通財産 Non-administrative assets／工作物 Structures,普通財産 Non-administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／不動産の信託の受益権 Real estate trust beneficiary rights
令和元,2019,13114,14,中野区,Nakano-ku,254919,221308,871792,152997,421084,68311,-,-,33611,138461,28566,32021,4997,-,47,…
令和元,2019,13115,15,杉並区,Suginami-ku,648454,603467,1590326,412522,808156,187467,3478,-,44988,337988,38465,53556,5413,2,1109,…
令和元,2019,13116,16,豊島区,Toshima-ku,508526,461162,668077,360891,425259,95933,4338,-,47364,100096,43451,20305,3298,12,603,…
令和元,2019,13117,17,北区,Kita-ku,576472,564470,1164540,458797,699159,98057,7616,-,12002,63139,11589,6678,235,46,132,…
令和元,2019,13118,18,荒川区,Arakawa-ku,165071,148034,552183,90610,428515,55571,1854,-,17036,77802,11185,14394,359,2,5491,…
令和元,2019,13119,19,板橋区,Itabashi-ku,305168,294545,1856483,211985,886930,78538,4021,-,10623,51823,9131,16553,97,5,1390,…
令和元,2019,13120,20,練馬区,Nerima-ku,943906,903172,2858493,738440,1123053,152263,12470,-,40734,106458,34692,46430,5477,24,542,…
令和元,2019,13121,21,足立区,Adachi-ku,998739,925172,3160414,674215,1159614,234426,16396,135,73567,257536,51007,35223,4080,337,18142,…
令和元,2019,13122,22,葛飾区,Katsushika-ku,443488,417928,1658991,330521,768307,71819,15588,-,25561,98281,18164,56959,7198,89,110,…
令和元,2019,13123,23,江戸川区,Edogawa-ku,617421,601285,2615767,485505,1053290,106035,9744,-,16136,92598,11335,48586,4438,191,173,…
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,
21-9  公有財産 (2) 区有 (平成27～令和元年度末) 21-9  PUBLIC ASSETS (2) ASSETS OWNED BY KU ( End of Fiscal Years 2015-2019 ) ,,,,,,,,,,,,,,,,,,,,,
注 1) 千代田区は区有財産現在額（価格）を固定資産台帳で管理し，公有財産台帳では現在高（数量）のみ管理しているため，価格は記載していない。そのため，総額及び普通財産の総額には，普通財産の有価証券，出資金等の金額のみを掲載している。,,,,,,,,,,,,,,,,,,,,,
2）中央区の行政財産の工作物には動産を含む。,,,,,,,,,,,,,,,,,,,,,
3）行政財産の有価証券，出資金等について，港区は地上権を含む。品川区は地上権，地役権及び浮桟橋を含む。大田区は動産及び用益物権（地上権）を含む。渋谷区は温泉権及び無体財産権を含む。足立区は地役権及び地上権を含む。,,,,,,,,,,,,,,,,,,,,,
4）普通財産の有価証券，出資金等について，港区は特許権等を含む。新宿区は不動産の信託の受益権を含む。大田区は無体財産を含む。杉並区は地役権等及び特許権等を含む。豊島区は商標権を含む。荒川区は無体財産権を含む。板橋区は無体財産を含む。,,,,,,,,,,,,,,,,,,,,,
"Note: 1) For Chiyoda-ku， data on asset values are not entered because while current values of its assets are provided in the fixed asset register， only current quantities are recorded in the public asset ledger. Accordingly， the ""total value"" and ""total value of non-administrative assets"" show only the amount of ""securities and investments etc."" of non-administrative assets.",,,,,,,,,,,,,,,,,,,,,
2) Structures under Chuo-ku's administrative assets include movable properties. ,,,,,,,,,,,,,,,,,,,,,
3) Regarding securities， investments， etc. under administrative assets， Minato-ku includes right of superficies. Shinagawa-ku includes right of superficies， easement， and floating piers. Ota-ku includes movable assets and usufructuary rights (right of superficies). Shibuya-ku includes hot spring rights and intangible asset rights. Adachi-ku includes easement and right of superficies.,,,,,,,,,,,,,,,,,,,,,
4) Regarding securities， investments and others under non-administrative assets， Minato-ku includes patent rights， etc. Shinjuku-ku includes beneficiary rights in real estate trusts. Ota-ku includes intangible assets. Suginami-ku includes easement， etc. and patent rights， etc. Toshima-ku includes trademark rights. Arakawa-ku includes intangible asset rights. Itabashi-ku includes intangible assets.,,,,,,,,,,,,,,,,,,,,,
資料：公益財団法人特別区協議会事業部調査研究課 Source: Public Interest Foundation of Tokyo Metropolitan Area Cities,,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,,
