地域階層,地区コード,項番,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く)  a),事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) b),事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 c),事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 d),事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 e),事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 f),事業所数 Establishments／電気機械器具 g),事業所数 Establishments／情報通信機械器具 h),事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) a),従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) b),従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 c),従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 d),従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 e),従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 f),従業者数 Persons engaged／電気機械器具 g),従業者数 Persons engaged／情報通信機械器具 h),従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) a),製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品(別掲を除く) b),製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 c),製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 d),製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 e),製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 f),製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 g),製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 h),製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
0,13000,,総数,Tokyo-to　,9870,246895,118752499,420221692,757766947,316117846,677,37,363,47,201,375,1699,194,16,576,184,219,187,102,122,1371,323,949,495,256,571,105,265,536,30124,1116,4206,557,3140,5636,41305,10802,314,7961,2456,3407,3702,2747,2522,17523,7440,17071,12885,9743,23863,7649,21340,9386,72647319,10393688,5271178,1064152,10590699,13359419,74180593,38386241,4189388,12445962,3476219,5977276,17989334,18015275,11336190,27245308,18033931,42463036,30475027,37106269,78407509,55048649,148195267,21469018
1,13100,,区部,All ku,7425,134800,60300715,155778070,292111298,127558157,445,14,314,34,153,331,1530,146,8,440,176,218,120,79,89,1105,239,642,307,87,323,38,153,434,12546,216,3379,436,1583,4779,36105,8674,196,5456,2099,3398,2373,2138,1323,13169,3635,9606,6860,1449,5625,1067,2542,6146,27480790,621053,4439484,940011,2925658,11531394,63430197,30683443,1623676,8371664,3053839,x,11592274,13979800,6388335,20735109,7552512,20233420,17999251,2375367,10834627,x,5030146,12277862
2,13101,1,千代田区,Chiyoda-ku,84,2040,989832,2222029,4280350,1909605,-,-,3,-,-,5,66,-,-,1,-,-,-,-,-,1,-,1,1,-,1,1,-,4,-,-,46,-,-,30,1843,-,-,4,-,-,-,-,-,7,-,5,24,-,9,7,-,65,-,-,25557,-,-,22745,3912142,-,-,x,-,-,-,-,-,x,-,x,x,-,x,x,-,221782
2,13102,2,中央区,Chuo-ku,108,1839,852355,1588310,3195709,1493698,14,-,7,-,-,4,68,1,-,1,-,-,-,-,-,2,-,2,1,1,1,-,-,6,228,-,68,-,-,29,1305,5,-,22,-,-,-,-,-,54,-,12,28,10,6,-,-,72,242406,-,89485,-,-,27368,2478143,x,-,x,-,-,-,-,-,x,-,x,x,x,x,-,-,x
2,13103,3,港区,Minato-ku,72,1162,597079,1656966,3037532,1280949,8,1,3,-,3,-,39,-,-,-,-,-,3,-,-,3,3,4,-,-,3,-,-,2,220,9,33,-,24,-,637,-,-,-,-,-,67,-,-,19,57,46,-,-,35,-,-,15,241799,x,27580,-,32895,-,1076249,-,-,-,-,-,1248623,-,-,15542,166242,112117,-,-,66711,-,-,x
2,13104,4,新宿区,Shinjuku-ku,233,5428,2593193,5478867,10489978,4651116,12,2,9,-,3,14,159,2,-,3,-,-,-,-,-,6,-,2,4,3,3,3,-,8,220,37,69,-,12,221,4363,20,-,46,-,-,-,-,-,70,-,28,98,19,36,119,-,70,314875,x,56350,-,7532,482975,8652528,x,-,80727,-,-,-,-,-,58840,-,x,282547,21101,95346,232631,-,93117
2,13105,5,文京区,Bunkyo-ku,203,4827,2310777,4484703,8744431,3962290,6,-,6,3,1,3,134,3,-,4,1,1,2,-,-,2,-,1,17,-,3,-,-,16,119,-,62,30,7,13,3768,31,-,43,5,64,13,-,-,10,-,6,449,-,43,-,-,164,x,-,86694,31316,x,10616,6329885,94601,-,79603,x,x,x,-,-,x,-,x,1245106,-,101461,-,-,203886
2,13106,6,台東区,Taito-ku,334,3498,1302517,3300997,5946115,2451428,24,-,27,3,8,28,62,3,-,9,4,62,3,-,2,31,-,2,3,-,5,1,4,53,390,-,261,20,99,266,662,24,-,79,29,681,16,-,10,209,-,24,46,-,46,11,26,599,505299,-,426156,6890,171854,328226,1035602,52234,-,66024,43754,1539164,12666,-,x,182543,-,x,x,-,89515,x,26648,1241925
2,13107,7,墨田区,Sumida-ku,666,12108,5873066,13481211,29504853,14945641,29,3,51,2,11,36,115,17,1,32,48,50,8,6,4,130,14,35,6,3,8,1,7,49,435,62,516,15,81,370,2076,3179,13,425,554,744,325,218,35,1278,217,509,335,36,114,8,86,477,832760,101062,1081110,x,134746,416180,3217252,12559113,x,582465,821941,1595317,645934,1863160,106271,1924220,485946,661945,1171492,82958,221641,x,139964,757507
2,13108,8,江東区,Koto-ku,438,8806,3862795,13832056,27248687,12473787,38,1,13,16,13,29,144,6,2,18,7,2,24,12,5,48,5,20,4,1,11,-,7,12,1668,7,115,264,212,307,3098,486,43,279,62,20,402,271,147,437,54,372,123,42,145,-,144,108,3944156,x,289206,739949,572593,387448,6246979,3476417,x,604021,94059,x,3379966,1886513,1243073,710797,81337,1331590,310815,x,310656,-,531779,204380
2,13109,9,品川区,Shinagawa-ku,308,5178,2430616,4684512,9903392,4866414,14,1,3,-,1,6,52,6,-,31,2,1,5,1,4,40,16,54,15,10,26,1,9,10,227,6,34,-,19,62,671,425,-,408,18,7,78,10,44,458,335,918,304,142,500,7,412,93,273124,x,13166,-,x,91244,924263,1124571,-,681451,x,x,327263,x,69177,600623,873362,1996726,570349,267753,908164,x,894372,205986
