年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,理容所 Barber,美容所  Beauty salon,クリーニング所 Dry-cleaner,公衆浴場 Public baths／総数 Total,公衆浴場 Public baths／普通 General,公衆浴場 Public baths／その他 Others,温泉利用施設 Hot springs,旅館等  Hotels and inns／総数 Total,旅館等 Hotels and inns／旅館・ホテル Japanese-style hotels & inns (ryokan) and hotel 1),旅館等 Hotels and inns／旅館・ホテル Japanese-style hotels & inns (ryokan) and hotel 1) ／旅館 Japanese-style hotels & inns (ryokan),旅館等 Hotels and inns／旅館・ホテル Japanese-style hotels & inns (ryokan) and hotel 1)／ホテル Hotel,旅館等 Hotels and inns／簡易宿所 Budget hotel,旅館等  Hotels and inns／下宿 Boarding houses and lodgings,常設興業場 Entertainment places／総数 Total,常設興業場 Entertainment places／映画館 Cinemas,常設興業場 Entertainment places／スポーツ施設 Sports center,常設興業場 Entertainment places／その他 Others,プール Swimming pool
平成27,2015,0,13000,,総数,Tokyo-to,8365,21566,10397,2082,618,1464,245,2883,1891,1209,682,978,14,872,306,35,531,2838
平成28,2016,0,13000,,総数,Tokyo-to,8256,22064,10221,2060,593,1467,253,3010,1939,1246,693,1058,13,861,288,35,538,2852
平成29,2017,0,13000,,総数,Tokyo-to,8167,22844,10093,2014,561,1453,249,3233,2024,1306,718,1196,13,895,316,38,541,2803
平成30,2018,0,13000,,総数,Tokyo-to,8019,23482,9895,1991,542,1449,243,3780,2435,…,…,1333,12,905,320,38,547,2810
令和元,2019,0,13000,,総数,Tokyo-to,7929,24088,9685,1953,522,1431,240,4707,3308,…,…,1388,11,941,314,46,581,2799
令和元,2019,1,13100,,区部,All ku,5748,18737,7714,1584,473,1111,114,3717,2883,…,…,823,11,734,223,30,481,1904
令和元,2019,2,13101,1,千代田区,Chiyoda-ku,165,231,263,38,5,33,3,145,117,…,…,28,-,78,23,1,54,36
令和元,2019,2,13102,2,中央区,Chuo-ku,164,823,308,50,9,41,2,205,167,…,…,38,-,37,14,-,23,32
令和元,2019,2,13103,3,港区,Minato-ku,193,1336,538,137,4,133,3,282,228,…,…,54,-,58,15,1,42,84
令和元,2019,2,13104,4,新宿区,Shinjuku-ku,279,1150,458,91,21,70,5,395,329,…,…,61,5,108,46,3,59,100
