年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,飲食店 Eateries／総数 Total,飲食店 Eateries／旅館・ホテル Ryokan ･ hotel,飲食店 Eateries／バー・キャバレー Bars ･ cabarets,飲食店 Eateries／一般飲食店 Restaurant,飲食店 Eateries／民生食堂 Low-cost eatery,飲食店 Eateries／すし屋 Sushi restaurant,飲食店 Eateries／そば屋 Soba restaurant,飲食店 Eateries／仕出し屋 Caterer,飲食店 Eateries／弁当屋 Bento shop,飲食店 Eateries／そうざい店 Deli,飲食店 Eateries／その他 Others,喫茶店 Cafes／店舗 Shop,喫茶店 Cafes／その他 Others,乳類販売業 Dairy product sales,食肉販売業 Processed meat sales,魚介類販売業 Seafood sales,食料品等販売業 Food sales,アイスクリーム販売業 Ice cream sales,菓子販売業 Confectionary (including bread) sales,魚介類加工品販売業 Fishery products sales
平成27,2015,0,13000,,総数,Tokyo-to,191591,1788,9894,138618,28,4696,5240,1640,6777,8211,14699,2487,20151,27298,14574,15196,29060,20679,27693,13594
平成28,2016,0,13000,,総数,Tokyo-to,192182,1809,9999,138807,28,4560,5039,1614,6770,8109,15447,2590,18992,26786,14625,15274,29244,20704,27734,13615
平成29,2017,0,13000,,総数,Tokyo-to,192469,1878,9860,139068,26,4492,4861,1619,6765,8074,15826,2676,17598,26209,14791,15376,29416,20621,27721,13614
平成30,2018,0,13000,,総数,Tokyo-to,192934,1928,9915,139188,23,4448,4706,1641,6688,8000,16397,2834,16588,25897,14909,15117,29788,20493,27629,13552
令和元,2019,0,13000,,総数,Tokyo-to,192997,1967,9981,139255,21,4377,4534,1685,6567,7861,16749,3146,15781,25359,14858,15041,29714,20380,27498,13488
令和元,2019,1,13100,,区部,All ku,158288,1293,8919,115976,21,3587,3711,1287,4926,6273,12295,2550,12508,19101,11324,11619,23022,13229,19680,8087
令和元,2019,2,13101,1,千代田区,Chiyoda-ku,8973,84,148,6960,-,178,289,15,193,394,712,180,1504,1192,438,432,1801,191,648,145
令和元,2019,2,13102,2,中央区,Chuo-ku,11443,139,1849,7653,1,458,238,38,214,230,623,340,1011,871,557,652,1482,294,708,171
令和元,2019,2,13103,3,港区,Minato-ku,15898,109,853,12508,3,397,260,66,172,535,995,183,1971,1468,708,634,1971,431,473,425
令和元,2019,2,13104,4,新宿区,Shinjuku-ku,14706,141,1730,11389,-,228,182,61,96,161,718,151,771,1124,652,623,1476,602,1309,291
令和元,2019,2,13105,5,文京区,Bunkyo-ku,3609,36,57,2836,2,80,117,32,139,66,244,64,283,513,242,239,603,312,501,168
令和元,2019,2,13106,6,台東区,Taito-ku,8031,248,439,5557,5,178,204,38,185,199,978,146,360,579,379,360,777,636,1108,263
令和元,2019,2,13107,7,墨田区,Sumida-ku,4695,47,424,3120,5,95,142,51,172,174,465,67,238,519,373,373,656,1269,1122,533
令和元,2019,2,13108,8,江東区,Koto-ku,5864,25,55,4272,1,116,139,70,257,202,727,86,882,1072,593,1116,1429,559,882,400
令和元,2019,2,13109,9,品川区,Shinagawa-ku,5942,57,336,3977,1,156,176,54,177,445,563,57,749,841,479,455,905,702,637,611
令和元,2019,2,13110,10,目黒区,Meguro-ku,4130,11,115,3088,-,106,83,53,115,212,347,117,213,466,259,239,521,132,386,104
令和元,2019,2,13111,11,大田区,Ota-ku,7762,60,231,5407,-,165,188,82,404,334,891,85,724,1385,789,872,1578,631,991,744
令和元,2019,2,13112,12,世田谷区,Setagaya-ku,8484,5,37,6492,-,170,211,127,344,358,740,173,402,1175,737,724,1362,1012,1911,563
令和元,2019,2,13113,13,渋谷区,Shibuya-ku,10343,94,793,8078,-,181,154,33,199,192,619,292,724,847,465,434,1106,343,1101,290
令和元,2019,2,13114,14,中野区,Nakano-ku,3803,3,190,2951,1,124,89,29,118,95,203,48,195,460,294,285,475,348,703,298
令和元,2019,2,13115,15,杉並区,Suginami-ku,5747,13,105,4462,-,112,135,60,221,242,397,84,220,683,447,431,768,712,751,388
令和元,2019,2,13116,16,豊島区,Toshima-ku,6899,100,592,5067,-,145,160,46,211,249,329,122,333,765,462,432,840,302,765,314
令和元,2019,2,13117,17,北区,Kita-ku,4010,19,209,2959,-,75,91,44,182,184,247,45,249,568,345,323,550,557,643,396
令和元,2019,2,13118,18,荒川区,Arakawa-ku,2297,17,35,1633,1,63,84,31,122,204,107,27,119,346,233,209,320,390,493,233
令和元,2019,2,13119,19,板橋区,Itabashi-ku,4683,3,79,3402,1,100,142,69,261,244,382,53,384,863,536,510,836,702,840,161
令和元,2019,2,13120,20,練馬区,Nerima-ku,4637,4,160,3180,-,108,153,95,263,237,437,67,272,813,550,515,821,596,809,460
令和元,2019,2,13121,21,足立区,Adachi-ku,6021,32,41,4092,-,126,182,82,320,612,534,58,385,981,688,694,1133,885,1250,214
令和元,2019,2,13122,22,葛飾区,Katsushika-ku,4541,11,154,2984,-,92,161,55,246,469,369,46,230,670,458,424,680,842,660,433
令和元,2019,2,13123,23,江戸川区,Edogawa-ku,5770,35,287,3909,-,134,131,56,315,235,668,59,289,900,640,643,932,781,989,482
令和元,2019,1,13200,,市部,All shi,33120,236,1049,22467,-,765,788,382,1571,1506,4356,568,3206,6002,3378,3255,6351,6759,7239,5191
令和元,2019,2,13201,1,八王子市,Hachioji-shi,4839,45,195,3241,-,103,89,51,159,125,831,76,484,853,469,472,908,844,1013,670
