学校,School,総数 Total,教員数 Teachers／本務者 Full-time／計 Total,教員数 Teachers／本務者 Full-time／男 Male,教員数 Teachers／本務者 Full-time／女 Female,教員数 Teachers／兼務者 Part-time／計 Total,教員数 Teachers／兼務者 Part-time／男 Male,教員数 Teachers／兼務者 Part-time／女 Female,職員 General Personnel／計 Total,職員 General Personnel／男 Male,職員 General Personnel／女 Female
総数,Total,…,66600,30924,35676,…,…,…,7576,…,…
幼稚園,Kindergartens,1141,847,23,824,246,60,186,48,10,38
幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),218,197,9,188,16,-,16,5,-,5
小学校,Elementary schools,43068,33448,13056,20392,6054,1689,4365,3566,1484,2082
中学校,Junior high schools,20813,15128,8424,6704,4273,1920,2353,1412,640,772
義務教育学校,Compulsory education schools,461,379,179,200,53,15,38,29,10,19
高等学校,Senior high schools,13508,9357,5976,3381,2832,1436,1396,1319,731,588
中等教育学校,Secondary education schools,579,431,271,160,102,50,52,46,21,25
大学,Colleges and universities,…,698,558,140,…,…,…,405,175,230
高等専門学校,Colleges of technology,…,129,116,13,…,…,…,41,…,…
特別支援学校,Special needs schools,7030,5778,2283,3495,589,206,383,663,308,355
高等学校（通信制）,Senior high schools (Correspondence course),78,42,22,20,30,18,12,6,4,2
専修学校,Specialized training schools,1064,166,7,159,862,431,431,36,8,28
,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,
22-5  職員数 (5) 教職員 (令和元年5月1日) 22-5  GOVERNMENT EMPLOYEES (5) EDUCATIONAL PERSONNEL ( May. 1， 2019 ),,,,,,,,,,,
資料：文部科学省 「学校基本調査報告書」， 都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」 Source: Ministry of Education， Culture， Sports， Science and Technology; Bureau of General Affairs， TMG ,,,,,,,,,,,
