年度,Fiscal year,系統,Line,旅客営業キロ Passenger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成27,2015,総数,Total,185.1,172,19649068,12372674,7276394
平成28,2016,総数,Total,185.1,172,20077008,12651607,7425401
平成29,2017,総数,Total,185.1,172,20581105,12981596,7599509
平成30,2018,総数,Total,185.1,172,21040031,13268508,7771523
令和元,2019,総数,Total,185,172,21149916,13447371,7702545
令和元,2019,銀座線,Ginza Line,14.2,19,1456122,728663,727459
令和元,2019,丸ノ内線,Marunouchi Line,27.4,28,2538064,1487930,1050134
令和元,2019,日比谷線,Hibiya Line,20.3,21,2391622,1441927,949695
令和元,2019,東西線,Tozai Line,22.2,17,3619966,2468180,1151786
令和元,2019,千代田線,Chiyoda Line,24,20,3434333,2338687,1095646
令和元,2019,有楽町線,Yurakucho Line,26.9,23,3035621,2041467,994154
令和元,2019,半蔵門線,Hanzomon Line,16.8,14,2036810,1220275,816535
令和元,2019,南北線 ,Namboku Line,21.3,19,1320747,893041,427706
令和元,2019,副都心線,Fukutoshin Line,11.9,11,1316631,827201,489430
,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 4　運輸 4　TRANSPORT ,,,,,,,,
4-14  地下鉄の運輸成績 (1)  東京地下鉄株式会社 (平成27～令和元年度）4-14 OPERATIONS OF SUBWAYS  (1)  TOKYO METRO CO.， LTD. ( Fiscal Years 2015-2019 ),,,,,,,,
資料：東京地下鉄株式会社鉄道本部営業部審査課 Source: Tokyo Metro Co.， Ltd.　,,,,,,,,
