年度末,End of fiscal year,地域階層,地域コード,地域,District,マーク Mark,総数 Total,都営住宅 Metropolitan housing,福祉住宅等 Welfare housing etc. 2),都民住宅 Tokyo Metropolitan Tomin housing／都施行 Built by TMG,都民住宅 Tokyo Metropolitan Tomin housing／その他 Others,区市町村住宅 Municipal housing 4)／公営 Public,区市町村住宅 Municipal housing 4)／その他 Others,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／都施行 Built by TMG,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／区市施行 Built by municipalities,公社一般賃貸住宅 Tokyo Metropolitan Public Housing Corporation housing,都市機構賃貸住宅 Urban Renaissance Agency housing 1) 
平成28,2016,0,13000,総数,Tokyo-to,,538881,253622,451,3875,17571,21842,8747,60,1133,64949,166631
平成29,2017,0,13000,総数,Tokyo-to,,530227,251693,446,3875,13872,21809,7937,60,1133,65169,164241
平成30,2018,0,13000,総数,Tokyo-to,,525740,251980,445,3875,9476,21754,7372,60,1133,67259,162394
令和元,2019,0,13000,総数,Tokyo-to,,522451,252112,439,3875,6303,21793,7016,60,1133,67561,162167
令和元,2019,1,13100,区部,All ku,,324470,162147,44,1907,5744,13978,6517,26,1057,34058,99000
令和元,2019,2,13101,千代田区,Chiyoda-ku,,1351,292,-,14,-,424,277,-,144,150,50
令和元,2019,2,13102,中央区,Chuo-ku,,8594,1453,-,-,303,130,1190,-,75,479,4964
令和元,2019,2,13103,港区,Minato-ku,,9970,4998,-,175,420,323,682,-,-,859,2513
令和元,2019,2,13104,新宿区,Shinjuku-ku,,9368,7103,-,4,54,991,506,-,-,359,351
令和元,2019,2,13105,文京区,Bunkyo-ku,,1750,553,-,1,114,225,134,-,-,264,459
令和元,2019,2,13106,台東区,Taito-ku,,1763,1075,-,-,160,197,172,-,-,-,159
令和元,2019,2,13107,墨田区,Sumida-ku,,11488,6637,-,122,719,388,318,-,61,269,2974
令和元,2019,2,13108,江東区,Koto-ku,,44044,19764,-,352,868,570,44,-,-,5748,16698
令和元,2019,2,13109,品川区,Shinagawa-ku,,10101,3409,-,27,18,409,1073,-,147,924,4094
令和元,2019,2,13110,目黒区,Meguro-ku,,2509,637,-,119,69,698,206,-,-,-,780
令和元,2019,2,13111,大田区,Ota-ku,,13913,6379,23,94,421,1663,504,-,-,1870,2959
令和元,2019,2,13112,世田谷区,Setagaya-ku,,18367,5911,-,1,107,1472,281,-,-,4824,5771
令和元,2019,2,13113,渋谷区,Shibuya-ku,,3603,2375,-,-,-,498,86,-,-,130,514
令和元,2019,2,13114,中野区,Nakano-ku,,5206,2225,-,12,130,567,79,-,20,1944,229
令和元,2019,2,13115,杉並区,Suginami-ku,,5646,3103,-,3,-,1176,136,-,-,450,778
令和元,2019,2,13116,豊島区,Toshima-ku,,3116,1171,-,-,21,380,142,-,85,146,1171
令和元,2019,2,13117,北区,Kita-ku,5),27556,13160,-,76,112,872,43,-,8,1225,12068
令和元,2019,2,13118,荒川区,Arakawa-ku,,6618,4190,-,131,400,86,205,-,-,85,1521
令和元,2019,2,13119,板橋区,Itabashi-ku,,26908,11533,21,30,440,625,219,-,-,3061,10979
令和元,2019,2,13120,練馬区,Nerima-ku,,21094,12294,-,98,127,891,71,26,-,1642,5945
令和元,2019,2,13121,足立区,Adachi-ku,,45300,29284,-,411,446,764,77,-,73,2070,12175
令和元,2019,2,13122,葛飾区,Katsushika-ku,,20377,12037,-,54,591,564,52,-,240,116,6723
令和元,2019,2,13123,江戸川区,Edogawa-ku,,25828,12564,-,183,224,65,20,-,204,7443,5125
令和元,2019,1,13200,市部,All shi,,195124,88987,-,1951,559,6542,305,34,76,33503,63167
令和元,2019,2,13201,八王子市,Hachioji-shi,,24310,10740,-,608,-,1372,-,-,-,3723,7867
令和元,2019,2,13202,立川市,Tachikawa-shi,,12342,5027,-,58,-,545,5,-,-,1750,4957
令和元,2019,2,13203,武蔵野市,Musashino-shi,,4279,1966,-,2,27,256,53,-,-,-,1975
令和元,2019,2,13204,三鷹市,Mitaka-shi,,6837,3896,-,85,15,129,16,-,-,-,2696
令和元,2019,2,13205,青梅市,Ome-shi,,2128,405,-,16,-,699,-,-,-,1008,-
令和元,2019,2,13206,府中市,Fuchu-shi,,6674,4621,-,44,14,679,113,-,-,-,1203
令和元,2019,2,13207,昭島市,Akishima-shi,,6361,3821,-,16,-,20,13,-,-,991,1500
令和元,2019,2,13208,調布市,Chofu-shi,,8417,4295,-,82,11,279,11,-,-,670,3069
令和元,2019,2,13209,町田市,Machida-shi,,27244,8042,-,125,31,548,7,-,-,9830,8661
令和元,2019,2,13210,小金井市,Koganei-shi,,2733,654,-,-,-,175,20,-,-,1282,602
令和元,2019,2,13211,小平市,Kodaira-shi,,8340,5470,-,14,12,27,11,-,-,21,2785
令和元,2019,2,13212,日野市,Hino-shi,,9693,2756,-,8,26,648,2,12,17,906,5318
令和元,2019,2,13213,東村山市,Higashimurayama-shi,,7926,5686,-,35,-,91,-,-,-,682,1432
令和元,2019,2,13214,国分寺市,Kokubunji-shi,,2971,1687,-,3,405,20,13,-,-,-,843
令和元,2019,2,13215,国立市,Kunitachi-shi,,4932,2066,-,470,-,-,-,-,-,-,2396
令和元,2019,2,13218,福生市,Fussa-shi,,3581,757,-,2,-,319,5,-,-,1634,864
令和元,2019,2,13219,狛江市,Komae-shi,,2645,1801,-,-,-,45,3,-,-,786,10
令和元,2019,2,13220,東大和市,Higashiyamato-shi,,5199,3075,-,3,-,26,1,-,-,2094,-
令和元,2019,2,13221,清瀬市,Kiyose-shi,,7141,3687,-,40,-,131,1,-,13,1140,2129
令和元,2019,2,13222,東久留米市,Higashikurume-shi,,7656,2577,-,9,-,-,1,22,46,2865,2136
令和元,2019,2,13223,武蔵村山市,Musashimurayama-shi,,4475,4238,-,1,-,23,-,-,-,-,213
令和元,2019,2,13224,多摩市,Tama-shi,,12403,4642,-,4,-,112,1,-,-,1630,6014
令和元,2019,2,13225,稲城市,Inagi-shi,,4448,1240,-,146,-,10,-,-,-,1650,1402
令和元,2019,2,13227,羽村市,Hamura-shi,,1321,349,-,1,-,131,-,-,-,-,840
令和元,2019,2,13228,あきる野市,Akiruno-shi,,211,-,-,-,-,211,-,-,-,-,-
令和元,2019,2,13229,西東京市,Nishitokyo-shi,,10857,5489,-,179,18,46,29,-,-,841,4255
令和元,2019,1,13300,郡部,All gun,,1322,978,-,17,-,206,121,-,-,-,-
令和元,2019,2,13303,瑞穂町,Mizuho-machi,,1067,978,-,17,-,72,-,-,-,-,-
令和元,2019,2,13305,日の出町,Hinode-machi,,67,-,-,-,-,67,-,-,-,-,-
令和元,2019,2,13308,奥多摩町,Okutama-machi,,123,-,-,-,-,44,79,-,-,-,-
令和元,2019,2,13307,檜原村,Hinohara-mura,,65,-,-,-,-,23,42,-,-,-,-
令和元,2019,1,13350,島部,All islands,,1533,-,393,-,-,1067,73,-,-,-,-
令和元,2019,0,99999,* 都外,* Out of Tokyo-to,3),2,-,2,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,
3-5  都営・区市町村・公社・都市機構等賃貸住宅管理戸数（平成28～令和元年度末） 3-5  RENTAL HOUSING UNITS BY TYPE OF MANAGEMENT ( End of Fiscal Year  2016-2019 ）,,,,,,,,,,,,,,,,,
注 1) ２市以上にまたがる都市再生機構の各団地は，それぞれの戸数の多くが所在する市に統一集計した。,,,,,,,,,,,,,,,,,
2) 福祉住宅等には引揚者住宅及び小笠原住宅を含む。,,,,,,,,,,,,,,,,,
3) ＊神奈川県相模原市所在の引揚者住宅。,,,,,,,,,,,,,,,,,
4) 区市町村住宅の内訳は、公営：公営住宅、借上公営住宅 /その他：特定公共賃貸住宅、特定優良賃貸住宅、改良住宅、区市町村単独住宅等。,,,,,,,,,,,,,,,,,
