年次,Year,総数 Total／隻数 Number,総数 Total／総トン数 G/T,外航船 Seagoing ships／計 Total／隻数 Number,外航船 Seagoing ships／計 Total／総トン数 G/T,外航船 Seagoing ships／外国船 Foreign ships／隻数 Number,外航船 Seagoing ships／外国船 Foreign ships／総トン数 G/T,外航船 Seagoing ships／日本船 Japanese ships／隻数 Number,外航船 Seagoing ships／日本船 Japanese ships／総トン数 G/T,内航船 Coasters／隻数 Number,内航船 Coasters／総トン数 G/T
平成27,2015,23997,161235534,5240,119868419,5236,119822347,4,46072,18757,41367115
平成28,2016,22665,170426797,5366,128494863,5356,128005675,10,489188,17299,41931934
平成29,2017,23604,174745700,5355,130776662,5328,128481018,27,2295644,18249,43969038
平成30,2018,24374,182980285,5504,137427504,5482,135669057,22,1758447,18870,45552781
平成31･令和元,2019,23382,179911843,5247,134062240,5230,132835372,17,1226868,18135,45849603
,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,
4-19  入港船舶隻数及び総トン数 （平成27～平成31･令和元年）（東京港） 4-19 NUMBER AND GROSS TONNAGE OF ARRIVING VESSELS ( 2015-2019 )( Port of Tokyo ),,,,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,,,
