項番 Item number,観測地,Observatory,平成27年 2015 平均 Average,平成28年 2016 平均 Average,平成29年 2017 平均 Average,平成30年 2018 平均 Average,平成31・令和元年 2019 平均 Average,平成31・令和元年 2019 平均 Average／1月 Jan.,平成31・令和元年 2019 平均 Average／2月 Feb.,平成31・令和元年 2019 平均 Average／3月 Mar.,平成31・令和元年 2019 平均 Average／4月 Apr.,平成31・令和元年 2019 平均 Average／5月 May,平成31・令和元年 2019 平均 Average／6月 June,平成31・令和元年 2019 平均 Average／7月 July,平成31・令和元年 2019 平均 Average／8月 Aug.,平成31・令和元年 2019 平均 Average／9月 Sept.,平成31・令和元年 2019 平均 Average／10月 Oct.,平成31・令和元年 2019 平均 Average／11月 Nov.,平成31・令和元年 2019 平均 Average／12月 Dec.
1,東京,Tokyo,16.4,16.4,15.8,16.8,16.5,5.6,7.2,10.6,13.6,20,21.8,24.1,28.4,25.1,19.4,13.1,8.5
2,江戸川臨海,Edogawarinkai,16.3,16.5,15.9,16.9,16.5,6.2,7.4,10.6,13.6,19.8,21.8,23.9,28.2,25,19.6,13.5,8.9
3,練馬,Nerima,16.1,16.2,15.6,16.6,16.3,4.8,6.7,10.3,13.5,20.1,22,24.4,28.6,25.2,19.3,12.7,7.8
4,府中,Fuchu,15.7,15.8,15.2,16.2,15.8,4.4,6.4,9.9,13.1,19.4,21.4,24,28,24.7,18.9,12.3,7.5
5,八王子,Hachioji,15.2,15.3,14.6,15.7,15.3,3.3,5.6,9.3,12.7,18.9,21.2,23.8,27.6,24.2,18.5,11.7,6.9
6,青梅,Ome,15,15,14.4,15.4,15,3.3,5.3,8.7,12.4,18.9,20.8,23.4,27.3,23.8,18.2,11.4,6.5
7,小河内,Ogochi,12.8,12.8,12.1,13.2,12.8,1.9,3.7,6.5,10,16.1,18.4,21,24.6,21.2,16,9.4,5.2
8,羽田,Haneda,16.8,16.9,16.3,17.3,17,6.8,7.9,11,13.9,20.1,22.1,24.2,28.7,25.4,20.1,14.3,9.8
9,大島,Oshima,16.7,17,16.4,17.3,17.2,8.5,9.4,11.7,14,19.1,21.3,23.8,27.3,24.8,20.3,15,11.7
10,新島,Niijima,17.5,17.9,17.5,18.5,18.5,10,11.2,12.8,15.1,20,22.3,24.7,27.9,26,22,16.8,13.7
11,三宅島,Miyakejima,18,18.4,17.8,18.8,18.9,10.8,12,13.4,15.4,20,22.4,25,27.6,25.9,22.5,17.7,14.3
12,八丈島,Hachijojima,18.1,18.6,17.7,18.7,18.7,10.5,12.3,13.4,15.2,19.1,21.7,25,27.2,25.6,22.4,17.8,14.4
13,父島,Chichijima,23.8,24.2,23.4,24.1,23.9,18.5,19.8,19.9,20.5,22.2,26,28,28.1,28.4,27.2,25,22.7
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑 （平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,,,,
1-6  観測地別平均気温 （平成27～平成31・令和元年） 1-6  AVERAGE TEMPERATURE BY OBSERVATORY ( 2015-2019 ),,,,,,,,,,,,,,,,,,,
この表の観測地のうち，東京とは東京管区気象台をいい，その他は地域気象観測所又は測候所をいう。,,,,,,,,,,,,,,,,,,,
"""Tokyo"" in this table refers to the Tokyo District Meteorological Observatory， and the others are local observation stations and weather stations.    ",,,,,,,,,,,,,,,,,,,
資料：気象庁 Source: Japan Meteorological Agency,,,,,,,,,,,,,,,,,,,
（単位　℃）(In ℃),,,,,,,,,,,,,,,,,,,
