年次,Year,港,Harbor,総数 Total,乗船人員 Boarding passengers,降船人員 Deboarding passengers
平成27,2015,総数,Total,725402,354011,371391
平成28,2016,総数,Total,789958,384364,405594
平成29,2017,総数,Total,794736,392632,402104
平成30,2018,総数,Total,819030,401371,417659
平成31･令和元,2019,総数,Total,807240,394626,412614
平成31･令和元,2019,元町港（大島町）,Motomachi Harbor (Oshima-machi),130478,73029,57449
平成31･令和元,2019,岡田港（大島町）,Okada Harbor (Oshima-machi),343483,164132,179351
平成31･令和元,2019,波浮港（大島町）,Habu Harbor (Oshima-machi),-,-,-
平成31･令和元,2019,利島港（利島村）,Toshima Harbor (Toshima-mura),13875,6721,7154
平成31･令和元,2019,新島港（新島村）,Niijima Harbor (Niijima-mura),47299,21951,25348
平成31･令和元,2019,式根島港（新島村）,Shikinejima Harbor (Niijima-mura),-,-,-
平成31･令和元,2019,神津島港（神津島村）,Kozushima Harbor (Kozushima-mura),41487,20578,20909
平成31･令和元,2019,三池港（三宅村）,Miike Harbor (Miyake-mura),24335,10795,13540
平成31･令和元,2019,御蔵島港（御蔵島村）,Mikurajima Harbor (Mikurajima-mura),13890,6589,7301
平成31･令和元,2019,神湊港（八丈町）,Kaminato Harbor (Hachijo-machi),35978,12942,23036
平成31･令和元,2019,八重根港（八丈町）,Yaene Harbor (Hachijo-machi),705,254,451
平成31･令和元,2019,青ヶ島港（青ヶ島村）,Aogashima Harbor (Aogashima-mura),2804,1365,1439
平成31･令和元,2019,二見港（小笠原村）,Futami Harbor (Ogasawara-mura),123734,61736,61998
平成31･令和元,2019,沖港（小笠原村）,Oki Harbor (Ogasawara-mura),29172,14534,14638
,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 4　運輸 4　TRANSPORT ,,,,,,
4-22　港別乗降船人員 (平成27～平成31･令和元年）（島しょ港湾） 4-22 NUMBER OF PASSENGERS BY HARBOR ( 2015-2019 )( Harbors of Islands ),,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,
