年度,Fiscal year,科名,Courses,入校者 Enrolled,修了者 Completed,就職状況 Placement／就職 Employed,就職状況 Placement／自営 Self-employed,就職状況 Placement／就職率 Employment rate (%)
平成30,2018,総数,Total,3945,3340,2476,62,76
令和元,2019,総数,Total,3701,3177,2176,54,70.2
令和元,2019,メカトロニクス,Mechatronics (2 years),21,17,16,-,94.1
令和元,2019,自動車整備工学,Automobile mechanics (2 years),57,40,40,-,100
令和元,2019,機械加工,Machining (2 years),11,5,5,-,100
令和元,2019,自動車車体整備,Automobile body repair (2 years),14,6,6,-,100
令和元,2019,エンジニア養成,Engineering (2 years),3,2,2,-,100
令和元,2019,精密加工,Precision machining,8,4,4,-,100
令和元,2019,木工技術,Woodworking,54,43,28,2,69.8
令和元,2019,インテリア設計施工,Interior design and construction,14,6,6,-,100
令和元,2019,電気工事,Electrical wiring ,74,62,61,-,98.4
令和元,2019,コンピュータ制御システム,Embedded computer system development,7,4,1,-,25
令和元,2019,電気設備技術,Electrical work,13,7,6,-,85.7
令和元,2019,環境分析,Environmental analysis,9,9,7,-,77.8
令和元,2019,自動車塗装,Automobile body painting,10,9,8,-,88.9
令和元,2019,パソコングラフィック,Computer graphics,30,16,15,-,93.8
令和元,2019,ＯＡシステム開発,OA system development,47,34,28,-,82.4
令和元,2019,ネットワークプログラミング,Network programming,28,16,12,-,75
令和元,2019,金型加工,Die and mold machining,6,5,3,-,60
令和元,2019,3ＤＣＡＤ・ＣＡＭ,3D CAD/CAM,28,14,9,-,64.3
令和元,2019,建築設備,Building equipment installation,9,3,2,-,66.7
令和元,2019,広告美術,Advertising art,14,11,8,-,72.7
令和元,2019,サイン・ディスプレイ,Signs and displays,29,21,11,-,52.4
令和元,2019,測量設計,Survey and planning,8,7,7,-,100
令和元,2019,環境空調サービス,Air conditioning services,15,15,11,1,80
令和元,2019,和装技術,Kimono-making,29,22,14,-,63.6
令和元,2019,電気設備システム,Electrical facilities management,10,8,8,-,100
令和元,2019,Ｗｅｂ設計,Web design,30,23,13,-,56.5
令和元,2019,組込みシステム技術,Embedded systems technology,10,7,6,-,85.7
令和元,2019,若年者就業支援科 (塗装コース),Employment support course for young people(Painting course),9,10,9,-,90
令和元,2019,若年者就業支援科 (建築塗装),Employment support course for young people(Construction painting),5,2,2,-,100
令和元,2019,若年者就業支援科 (溶接コース),Employment support course for young people(Welding course),14,9,9,-,100
令和元,2019,エンジニア基礎養成,Basic engineer training,13,10,7,-,70
令和元,2019,電気制御基礎養成,Basic electric control training,6,5,4,-,80
令和元,2019,ネットワーク施工,Network technology,38,29,14,-,48.3
令和元,2019,プラスチック加工,Plastics processing,15,14,5,-,35.7
令和元,2019,アパレルパタンナー,Fashion pattern making,30,20,15,-,75
令和元,2019,製くつ,Shoemaking,21,21,15,1,76.2
令和元,2019,財務管理,Financial accounting,115,95,59,-,62.1
令和元,2019,ＣＡＤ,CAD,78,64,39,-,60.9
令和元,2019,建築ＣＡＤ,Architecture CAD,60,49,26,-,53.1
令和元,2019,溶接,Welding,24,21,18,-,85.7
令和元,2019,住宅内外装仕上,Interior and exterior finishing,50,44,37,5,95.5
令和元,2019,建築設備施工,Equipment installation,28,27,16,1,63
令和元,2019,住宅リフォーム,Home renovation,60,51,44,4,94.1
令和元,2019,グリーンエクステリア,Gardening and exterior work,55,48,41,4,93.8
令和元,2019,セキュリティサービス,Security services,44,38,25,3,73.7
令和元,2019,電気・通信工事,Electrical/telecommunications wiring,36,35,22,2,68.6
令和元,2019,印刷企画営業,Print design and marketing,26,18,11,1,66.7
令和元,2019,グラフィック印刷,Graphic printing,15,12,9,-,75
令和元,2019,ＤＴＰ,DTP,59,47,38,2,85.1
令和元,2019,医療事務,Medical billing,115,89,53,-,59.6
令和元,2019,貿易実務,International trade documentation,111,82,43,-,52.4
令和元,2019,ＯＡソフト管理,Office software management,84,81,32,-,39.5
令和元,2019,ネットワーク構築,Network construction,29,22,7,-,31.8
