種類,Type,項番 Item number,区分,Classification,マーク Mark,総額 Total value,土地 Land／面積 Area(m2),土地 Land／価格 Value,建物 Buildings／延面積 Total floor space(m2),建物 Buildings／価格 Value,工作物 Structures,立木 Timber,船舶 Ships,航空機 Aircraft,浮標，浮さん橋，浮ドック Buoys， floating piers and docks b) Rights based on investments,地上権等 Surface rights， etc.,特許権等 Patent rights， etc.,株式等 Securities， etc.,出資による権利 b),不動産信託の受益権 Real estate trust beneficiary rights
一般財産 ,General assets,1,総額,Total,,11641460,89858801,7003355,29556003,2785809,751915,846,7661,4234,3199,5827,10667,239152,644667,184129
一般財産 ,General assets,2,行政財産,Administrative assets,,9512562,81614659,6363437,28391396,2424294,703538,752,7661,4234,3192,5455,-,-,-,-
一般財産 ,General assets,3,普通財産,Non-administrative assets,,2128898,8244141,639918,1164607,361516,48377,94,0,-,7,373,10667,239152,644667,184129
準公営企業用財産 ,Quasi-autonomous public enterprise assets,4,総額,Total,,2612667,14104686,1617041,2187640,362459,485369,1849,1741,-,-,-,24,112417,6,31761
準公営企業用財産 ,Quasi-autonomous public enterprise assets,5,行政財産,Administrative assets,,1661727,7144974,861759,2133994,361540,434837,1849,1741,-,-,-,-,-,-,-
準公営企業用財産 ,Quasi-autonomous public enterprise assets,6,普通財産,Non-administrative assets,,950940,6959712,755281,53647,919,50532,-,-,-,-,-,24,112417,6,31761
公営企業用財産,Public enterprise assets,,,,1),14106416,264537869,1032560,3027220,1198374,11801457,2217,153,-,-,330,-,69086,2240,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,
21-9  公有財産 (1) 都有 (令和元年度末) 21-9  PUBLIC ASSETS  (1) ASSETS OWNED BY THE TOKYO METROPOLITAN GOVERNMENT ( End of Fiscal Year 2019 ),,,,,,,,,,,,,,,,,,,,
注1) 行政財産及び普通財産の合計額である。　,,,,,,,,,,,,,,,,,,,,
Note:1) Figures are the total amounts of “administrative assets” and “non-administrative assets.”,,,,,,,,,,,,,,,,,,,,
資料：都財務局財産運用部総合調整課 Source: Bureau of Finance， TMG,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,
