年度,Fiscal year,地域階層,地域コード,地域,District,住民税負担額 (百万円) Inhabitant tax (millions yen)／計 Total,住民税負担額 (百万円) Inhabitant tax (millions yen)／道府県民税分 Prefectural,住民税負担額 (百万円) Inhabitant tax (millions yen)／市町村民税分 Municipal,1人当たり負担額 (円) Tax levied per capita (yen)／計 Total,1人当たり負担額 (円) Tax levied per capita (yen)／道府県民税分 Prefectural,1人当たり負担額 (円) Tax levied per capita (yen)／市町村民税分 Municipal,1世帯当たり負担額 (円) Tax levied per household (yen)／計 Total,1世帯当たり負担額 (円) Tax levied per household (yen)／道府県民税分 Prefectural,1世帯当たり負担額 (円) Tax levied per household (yen)／市町村民税分 Municipal
平成26,2014,0,13000,東京都,Tokyo-to,1993560,792310,1201251,149011,59222,89789,291210,115737,175473
平成27,2015,0,13000,東京都,Tokyo-to,2034565,810752,1223812,150538,59988,90550,292891,116714,176177
平成28,2016,0,13000,東京都,Tokyo-to,2098483,835763,1262720,153890,61290,92600,308164,122732,185431
平成29,2017,0,13000,東京都,Tokyo-to,2129700,847566,1282134,154967,61673,93294,308136,122630,185505
平成30,2018,0,13000,東京都,Tokyo-to,2190975,871994,1318980,158269,62990,95279,312538,124388,188150
平成30,2018,1,13100,区部,All ku,1669579,664641,1004938,174717,69553,105164,331038,131783,199255
平成30,2018,2,13101,千代田区,Chiyoda-ku,26715,10649,16066,422932,168586,254346,741123,295421,445702
平成30,2018,2,13102,中央区,Chuo-ku,44032,17527,26505,273678,108939,164739,492911,196206,296705
平成30,2018,2,13103,港区,Minato-ku,120643,48054,72589,470500,187407,283093,878165,349786,528379
平成30,2018,2,13104,新宿区,Shinjuku-ku,71966,28618,43348,207420,82484,124936,333671,132690,200982
平成30,2018,2,13105,文京区,Bunkyo-ku,54094,21560,32534,235003,93665,141338,426184,169864,256321
平成30,2018,2,13106,台東区,Taito-ku,31331,12472,18859,152343,60642,91701,262775,104601,158174
平成30,2018,2,13107,墨田区,Sumida-ku,37252,14823,22429,139726,55598,84128,265918,105810,160107
平成30,2018,2,13108,江東区,Koto-ku,80176,31922,48254,155672,61981,93691,312240,124318,187922
平成30,2018,2,13109,品川区,Shinagawa-ku,75127,29939,45188,186263,74227,112035,335809,133823,201986
平成30,2018,2,13110,目黒区,Meguro-ku,71716,28590,43127,251539,100276,151263,474227,189050,285177
平成30,2018,2,13111,大田区,Ota-ku,116214,46183,70031,158248,62887,95361,299806,119142,180664
平成30,2018,2,13112,世田谷区,Setagaya-ku,196062,78108,117954,210944,84037,126908,406632,161996,244636
平成30,2018,2,13113,渋谷区,Shibuya-ku,81912,32679,49232,353525,141042,212483,582679,232465,350214
平成30,2018,2,13114,中野区,Nakano-ku,53604,21342,32262,158559,63130,95429,260396,103677,156720
平成30,2018,2,13115,杉並区,Suginami-ku,105072,41855,63217,181197,72179,109018,323917,129031,194886
平成30,2018,2,13116,豊島区,Toshima-ku,48773,19418,29355,162480,64687,97793,263547,104924,158623
平成30,2018,2,13117,北区,Kita-ku,45106,17951,27155,128265,51046,77219,239243,95212,144031
平成30,2018,2,13118,荒川区,Arakawa-ku,26544,10562,15982,122173,48615,73558,245201,97569,147631
平成30,2018,2,13119,板橋区,Itabashi-ku,71259,28348,42910,123258,49035,74223,231310,92021,139289
平成30,2018,2,13120,練馬区,Nerima-ku,105636,42031,63605,143681,57169,86512,299160,119032,180128
平成30,2018,2,13121,足立区,Adachi-ku,72629,28877,43751,106764,42450,64314,221704,88150,133553
平成30,2018,2,13122,葛飾区,Katsushika-ku,51148,20311,30838,112970,44860,68110,240235,95397,144838
平成30,2018,2,13123,江戸川区,Edogawa-ku,82570,32821,49748,119042,47319,71723,255693,101638,154055
平成30,2018,1,13200,市部,All shi,514067,204446,309621,122255,48621,73634,266167,105856,160312
平成30,2018,2,13201,八王子市,Hachioji-shi,60672,24098,36574,105105,41747,63358,232158,92211,139947
平成30,2018,2,13202,立川市,Tachikawa-shi,21970,8725,13245,121910,48414,73496,251185,99753,151432
平成30,2018,2,13203,武蔵野市,Musashino-shi,29382,11712,17670,199054,79345,119709,386484,154057,232427
平成30,2018,2,13204,三鷹市,Mitaka-shi,29949,11924,18025,156468,62297,94171,321230,127896,193335
平成30,2018,2,13205,青梅市,Ome-shi,12837,5096,7741,95191,37791,57400,230560,91533,139027
平成30,2018,2,13206,府中市,Fuchu-shi,33554,13344,20211,127179,50576,76603,271869,108116,163754
平成30,2018,2,13207,昭島市,Akishima-shi,11675,4637,7038,104291,41422,62869,235180,93408,141772
平成30,2018,2,13208,調布市,Chofu-shi,33780,13447,20333,142148,56584,85563,290312,115564,174749
平成30,2018,2,13209,町田市,Machida-shi,51311,20410,30900,118244,47035,71209,266975,106196,160778
平成30,2018,2,13210,小金井市,Koganei-shi,17969,7150,10818,144082,57336,86746,289189,115079,174109
平成30,2018,2,13211,小平市,Kodaira-shi,23191,9222,13969,119075,47350,71725,268334,106702,161631
平成30,2018,2,13212,日野市,Hino-shi,22051,8771,13279,116676,46411,70265,250795,99760,151035
平成30,2018,2,13213,東村山市,Higashimurayama-shi,15728,6254,9474,104784,41668,63116,236197,93925,142273
平成30,2018,2,13214,国分寺市,Kokubunji-shi,18609,7405,11204,147319,58620,88699,302008,120172,181836
平成30,2018,2,13215,国立市,Kunitachi-shi,11700,4655,7045,155960,62055,93905,329144,130963,198181
平成30,2018,2,13218,福生市,Fussa-shi,5630,2236,3394,96764,38425,58339,199955,79403,120552
