品目階層,品目,Item,平成29年 2017／数量 Quantity,平成29年 2017／金額 Value,平成30年 2018／数量 Quantity,平成30年 2018／金額 Value,平成31･令和元年 2019／数量 Quantity,平成31･令和元年 2019／金額 Value
0,総数,Total,407653,453152704,385102,437815390,365388,418975322
1,鮮魚,Fresh fish,144099,156935327,139162,157260331,132620,155596125
2,まぐろ類,Tuna,10274,24188217,10643,26317412,10309,26726056
2,かじき類,Swordfish,1290,2068424,1320,2096431,1269,2069164
2,かつお類,Skipjack,8309,5372584,6453,4068786,6717,3929731
2,ぶり類,Yellowtail,31487,19965142,29023,19309894,27372,19493178
2,あじ類,Horse mackerel,14496,8584388,13701,8317034,12742,8226771
2,さわら類,King mackerel,2131,2366590,1864,2243060,2407,2374506
2,いわし類,Sardine,9668,3073745,8528,2986065,7685,2673046
2,いか類,Squid,6037,5790537,6018,5894691,5754,5671118
2,かれい類,Flounder,3796,2702557,3455,2429721,3759,2465469
2,たい類,Sea bream,10992,13547683,10191,13235820,9881,12439087
2,めぬけ類,Rock fish,1026,1817616,1087,1843701,985,1756006
2,さめ類,Shark,438,174164,359,148387,365,145172
2,さけ・ます類,Salmon and trout,7972,12006130,8071,11849024,8247,11617997
2,たら類,Cod,4068,3695815,3973,3446443,4162,3512467
2,えび類,Shrimp and lobster,1712,6282671,1601,5850598,1544,5806967
2,かに類,Crab,1182,3471843,1100,3517770,1129,3677708
2,あなご類,Conger eel,313,424326,251,379642,248,384419
2,ふぐ類,Puffer,603,2129268,597,1861178,556,1815280
2,その他鮮魚類,Other fresh fish,28306,39273627,30927,41464673,27492,40811985
1,活魚類,Live fish ,15129,21376936,14243,21762210,12460,19498972
1,貝類,Shellfish,26988,32505390,25612,30761850,25588,31744763
2,生鮮貝類,Fresh shellfish,23594,26540396,22101,25075197,21376,24709614
2,冷凍貝類,Frozen shellfish,3394,5964994,3511,5686653,4212,7035149
1,冷凍魚,Frozen fish,79858,107789434,73978,99528143,72570,93530564
2,冷まぐろ類,Frozen tuna,27169,44402014,26179,41409491,24846,37712024
2,冷かじき類,Frozen swordfish,2040,2057636,1856,2002149,1412,1626839
2,冷いか類,Frozen squid,3208,3582897,3655,3730565,3483,3773518
2,冷かれい類,Frozen flounder,2972,2760015,2779,2737236,2725,2663236
2,冷たい類,Frozen sea bream,46,56810,29,41023,40,65420
2,冷さめ類,Frozen shark,1,546,2,756,2,873
2,冷さけ・ます類,Frozen salmon and trout,15528,15876702,13691,13752246,13704,13255577
2,冷えび類,Frozen shrimp and lobster,8329,13624252,7637,11653033,8104,11379946
2,冷かに類,Frozen crab,1853,5970313,1614,5694507,1628,5898391
2,その他冷凍魚類,Other frozen fish,18713,19458248,16537,18507137,16625,17154741
1,淡水魚,Freshwater fish,1358,2535685,1302,2523502,1241,2487088
2,生鮮淡水魚類,Fresh freshwater fish,1269,2444679,1206,2431465,1154,2401985
2,冷凍淡水魚類,Frozen freshwater fish,89,91007,96,92037,87,85103
1,海そう類,Seaweed,6911,3722145,7716,4196848,6523,4217277
1,加工品,Processed foods,133311,128287786,123088,121782506,114385,111900533
2,塩蔵品類,Salted,16153,28744069,14874,24952475,13541,22891145
2,塩干品類,Salted and dried,19115,12547930,17757,11888081,16843,11728129
2,煮干製品類,Boiled and dried,9728,12178662,8500,13476250,8078,10763810
2,練製品類,"""Surimi""",16836,11480932,15749,10885528,14999,10672946
2,その他加工品類,Other processed foods,71479,63336193,66208,60580172,60923,55844503
,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,
10-2  品目別水産物の入荷数量 （平成29～平成31･令和元年） 10-2 RECEIVED FISHERY PRODUCTS BY ITEM（ 2017-2019 ）,,,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,
品目階層(0:総数　1:鮮魚・活魚類・貝類・冷凍魚・淡水魚・海そう類・加工品　2:水産物種類別　3:品目),,,,,,,,
（単位　数量　トン， 金額　千円） (Quantity in tons， Value in thousands of yen)  ,,,,,,,,
