年度末,End of fiscal year,地域階層,地区コード,地域,District,終末処理場数 Sewerage treatment plants,ポンプ所数 Pumping stations,事務所数 Sewerage offices,下水道暗きょ Sewer pipes／総数 Total (m),下水道暗きょ Sewer pipes／幹線 Trunk sewers (m),下水道暗きょ Sewer pipes／枝線 Branch sewers (m),マンホール数 (個) Manholes ,汚水枡数 (個) Sewage basins
平成29,2017,0,13000,総数,Tokyo-to,20,85,8,16326002,1337360,14988642,486931,1941030
平成30,2018,0,13000,総数,Tokyo-to,20,85,8,16344316,1339546,15004770,487367,1947177
令和元,2019,0,13000,総数,Tokyo-to,20,85,8,16368749,1346260,15022489,487907,1953493
令和元,2019,1,13100,区部,All ku,13,83,7,16136559,1114070,15022489,486677,1953493
令和元,2019,3,13101,千代田区,Chiyoda-ku,-,1,1,296041,40099,255942,6705,26336
令和元,2019,3,13102,中央区,Chuo-ku,-,7,-,321081,26984,294096,7014,28191
令和元,2019,3,13103,港区,Minato-ku,1,4,-,467640,56733,410907,11543,41046
令和元,2019,3,13104,新宿区,Shinjuku-ku,1,-,-,491275,34622,456653,14385,62835
令和元,2019,3,13105,文京区,Bunkyo-ku,-,2,-,320312,47950,272362,8834,38995
令和元,2019,3,13106,台東区,Taito-ku,-,2,1,374852,44947,329906,8758,45012
令和元,2019,3,13107,墨田区,Sumida-ku,-,5,-,372166,27608,344559,10397,50431
令和元,2019,3,13108,江東区,Koto-ku,2,20,1,745962,46432,699530,17000,54716
令和元,2019,3,13109,品川区,Shinagawa-ku,-,7,-,451895,35435,416460,13261,68922
令和元,2019,3,13110,目黒区,Meguro-ku,-,-,-,354382,22750,331631,12080,60348
令和元,2019,3,13111,大田区,Ota-ku,1,10,1,1206845,83002,1123843,35835,159257
令和元,2019,3,13112,世田谷区,Setagaya-ku,-,-,-,1607879,105534,1502344,52642,202038
令和元,2019,3,13113,渋谷区,Shibuya-ku,-,-,-,312973,15749,297225,10386,52387
令和元,2019,3,13114,中野区,Nakano-ku,1,-,1,439471,30115,409356,14164,76131
令和元,2019,3,13115,杉並区,Suginami-ku,-,-,-,821516,43191,778325,24470,117822
令和元,2019,3,13116,豊島区,Toshima-ku,-,-,-,398543,28616,369927,13971,69694
令和元,2019,3,13117,北区,Kita-ku,1,2,1,478594,27639,450956,14099,68731
令和元,2019,3,13118,荒川区,Arakawa-ku,1,3,-,315903,35528,280375,8480,46081
令和元,2019,3,13119,板橋区,Itabashi-ku,1,1,-,801402,63883,737518,26198,108289
令和元,2019,3,13120,練馬区,Nerima-ku,-,-,-,1291951,68105,1223847,43219,161474
令和元,2019,3,13121,足立区,Adachi-ku,2,6,-,2117680,109726,2007954,64807,160395
令和元,2019,3,13122,葛飾区,Katsushika-ku,1,7,1,1021021,53348,967673,33656,117791
令和元,2019,3,13123,江戸川区,Edogawa-ku,1,6,-,1127175,66074,1061100,34773,136571
令和元,2019,2,,流域下水道,Regional sewerage system,7,2,1,232190,232190, - ,1230, - 
,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,
6-7 地域別下水道施設及び付属設備（平成29～令和元年度末） 6-7  SEWERAGE FACILITIES AND EQUIPMENT BY DISTRICT ( End of Fiscal Years 2017-2019 ),,,,,,,,,,,,,
この表は都下水道局の事業実績である。,,,,,,,,,,,,,
Data here are business figures of the Bureau of Sewerage， TMG.,,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課 Source: Bureau of Sewerage， TMG ,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部　2:流域下水道　3:区市町村）,,,,,,,,,,,,,
