年次,Year,月次,Month,区分,Classification,総数 Total,農，水産品 Agricultural and fishery products,金属 Metals,金属製品，機械 Metal products and machinery,窯業品 Ceramics,化学工業品 Chemicals,紙 ，パルプ Paper and pulp,繊維工業品 Textiles,食料工業品 Processed food,雑工業品 Miscellaneous manufactured articles,雑品 Miscellaneous
平成29,2017,,,入庫, Incoming,10299052,703166,4477,753304,10383,311046,2226055,20687,2440694,1224783,2604457
平成30,2018,,,入庫, Incoming,8984733,690176,4152,753022,10478,292128,2197852,20687,2089130,1150562,1776546
平成31･令和元,2019,,,入庫, Incoming,9273140,674577,4300,768589,17664,341966,2110879,16508,2257943,1126074,1954640
平成31,2019,1,Jan.,入庫, Incoming,719074,47002,313,61742,748,22260,172192,1364,170049,111597,131807
平成31,2019,2,Feb.,入庫, Incoming,769897,57622,266,62514,654,28722,170305,1490,175253,81514,191557
平成31,2019,3,Mar.,入庫, Incoming,802616,57478,553,64371,712,29959,183792,1215,179499,121117,163920
平成31,2019,4,Apr.,入庫, Incoming,803968,64156,635,64259,2747,34955,182403,1385,190089,84986,178353
令和元,2019,5,May,入庫, Incoming,750285,67159,326,61912,539,25194,178656,1538,176683,88182,150096
令和元,2019,6,June,入庫, Incoming,720768,56960,314,66582,1680,28762,176021,1542,170441,81508,136958
令和元,2019,7,July,入庫, Incoming,817636,53026,315,67536,1928,29200,177099,1538,225463,92240,169291
令和元,2019,8,Aug.,入庫, Incoming,764760,47154,298,58157,1247,26098,172441,1154,188532,86459,183220
令和元,2019,9,Sept.,入庫, Incoming,752826,52950,269,68718,1544,26166,179435,1634,179016,91375,151719
令和元,2019,10,Oct.,入庫, Incoming,815963,54539,249,68230,2414,25079,184459,1085,200584,96511,182813
令和元,2019,11,Nov.,入庫, Incoming,767109,71372,472,61587,1221,26738,163010,1232,191584,100182,149711
令和元,2019,12,Dec.,入庫, Incoming,788238,45159,290,62981,2230,38833,171066,1331,210750,90403,165195
平成29,2017,,,在庫, Inventory balance,1751883,94616,3361,125472,1082,78259,307868,3872,405724,269151,462478
平成30,2018,,,在庫, Inventory balance,1669346,98884,3494,126914,962,94172,251048,6034,401793,211031,475014
平成31･令和元,2019,,,在庫, Inventory balance,1758837,85203,3209,143746,1520,110711,299016,7631,401037,205048,501716
平成31,2019,1,Jan.,在庫, Inventory balance,1727780,94728,3515,133068,980,92814,267886,6429,419215,235344,473801
平成31,2019,2,Feb.,在庫, Inventory balance,1761723,91827,3409,136698,983,97559,261505,6670,424430,231251,507391
平成31,2019,3,Mar.,在庫, Inventory balance,1749975,90561,3446,136268,1032,97551,256569,6481,418395,233100,506572
平成31,2019,4,Apr.,在庫, Inventory balance,1739181,94341,3499,138140,2391,97748,259200,6615,409386,215096,512765
令和元,2019,5,May,在庫, Inventory balance,1753286,103151,3470,142838,1764,99225,270066,6789,392676,220666,512641
令和元,2019,6,June,在庫, Inventory balance,1764584,103203,3496,145836,1902,101621,274419,6646,406416,217731,503314
令和元,2019,7,July,在庫, Inventory balance,1766070,96180,3460,146716,2064,102308,275514,6948,408860,207761,516259
令和元,2019,8,Aug.,在庫, Inventory balance,1781365,85425,3419,141748,1910,103584,287310,7050,419855,206419,524645
令和元,2019,9,Sept.,在庫, Inventory balance,1739368,85296,3337,143889,1464,105771,290795,7533,410001,207151,484131
令和元,2019,10,Oct.,在庫, Inventory balance,1780984,82099,3204,144402,2036,106535,293605,7356,419978,209881,511888
令和元,2019,11,Nov.,在庫, Inventory balance,1806752,98288,3352,144038,1227,106887,296295,7607,424084,211063,513911
令和元,2019,12,Dec.,在庫, Inventory balance,1758837,85203,3209,143746,1520,110711,299016,7631,401037,205048,501716
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,
4-24  普通営業倉庫の使用状況 （平成29～平成31･令和元年) 4-24 REGULAR COMMERCIAL WAREHOUSES ( 2017-2019 ),,,,,,,,,,,,,,,,
「在庫」 の各年は年末現在である。,,,,,,,,,,,,,,,,
Figures for “Inventory” each year is as of the end of the year stated.,,,,,,,,,,,,,,,,
注 1) 本表は第70回統計年鑑（平成30年）までは「区部」のみの数値を掲載していたが，第71回（平成31・令和元年）より「都全域」の数値を集計したものに変更した。,,,,,,,,,,,,,,,,
Note: 1) Until the 70th edition (2018)， only Ku area figures were published. However， from the 71st edition (2019)， the figures cover all of Tokyo-to.,,,,,,,,,,,,,,,,
資料：東京倉庫協会「保管貨物１０品目別残高表」 Source: Tokyo Warehousing Association Inc.,,,,,,,,,,,,,,,,
（単位　トン） (In metric tons),,,,,,,,,,,,,,,,
