"年度[西暦]","実施状況 面積[平方キロメートル]","実施状況 率[％]","実施累計 面積[平方キロメートル]","実施累計 率[％]","実施地域"
"1964","4.649","23.9","4.649","23.9","芝一～五、芝浦一～四（39． 7． 1実施）海岸一～三、港南一～四（40． 3． 1実施）"
"1965","1.085","5.6","5.734","29.4","東新橋一・二、新橋一～六、西新橋一～三（40． 7． 1実施）"
"1966","5.894","30.3","11.628","59.7","南麻布一～五（41． 4． 1実施）元麻布一～三、元赤坂一・二、赤坂一～九（41． 7． 1実施）南青山一～七、北青山一～三（41．10． 1実施）西麻布一～四（42． 1． 1実施）"
"1967","3.899","20","15.527","79.7","三田一～五、高輪一～四、六本木一～七（42． 7． 1実施）港南五（港南五丁目を港区に編入）（42． 8． 1実施）"
"1968","1.726","8.9","17.253","88.6","白金一～六、白金台一～五（44． 1． 1実施）"
"1971","0.945","4.9","18.198","93.4","浜松町一・二、芝大門一・二、芝公園一～四（47． 1． 1実施）"
"1973","0.164","0.8","18.362","94.3","麻布台一・二（49． 1． 1実施）"
"1976","0.037","0.2","18.399","94.4","麻布台三（51．10． 1実施）"
"1977","0.605","3.1","19.004","97.6","虎ノ門一～五､芝公園三（芝栄町を編入）（52． 9． 1実施）愛宕一・二（53． 1． 1実施）"
"1978","0.172","0.9","19.176","98.4","麻布十番一～四、六本木六（麻布南日ヶ窪町を編入）（53． 9． 1実施）"
"1981","0.241","1.2","19.417","99.67","東麻布一～三（56． 4． 1実施）"
"1982","0","0","19.417","97.12","［台場（0.512ｋ㎡）を港区に編入。港区総面積19.993ｋ㎡］"
"1987","0","0","19.417","96.96","［海岸一丁目、海岸三丁目地先埋立地（0.032ｋ㎡）を港区に編入港区総面積20.025ｋ㎡］"
"1988","0","0","19.417","96.77","［海岸一丁目、海岸三丁目地先埋立地（0.040ｋ㎡）を港区に編入港区総面積20.065ｋ㎡］"
"1990","0","0","19.417","96.62","［海岸一丁目、海岸三丁目地先埋立地等（0.032ｋ㎡）を港区に編入港区総面積20.097ｋ㎡］"
"1992","0","0","19.625","96.63","［国土地理院修正に基づく東京都境界未定地処理による。港区総面積20.310ｋ㎡］"
"1995","0.546","2.7","20.171","99.17","海岸一（埋立地）（　7． 4． 1実施）台場一・二（　7． 7． 1実施）［海岸三丁目地先埋立地（0.029ｋ㎡）を港区に編入港区総面積20.339ｋ㎡]"
"1996","0.104","0.5","20.275","99.69","海岸三（埋立地）（　9． 1． 1実施）"
"2015","0","0","20.31","99.71","［国土地理院の面積の計測方法変更による。港区総面積20.37ｋ㎡]"

"平成30年度港区行政資料集　住居表示実施状況","Ver201803",,,,
