,総数,英語,中国語,韓国語,フランス語,スペイン語,タガログ語,ネパール語,タイ語,ドイツ語,イタリア語,ミャンマー語,その他,無回答
総数／n,274,251,72,57,11,11,7,7,6,6,6,2,12,14
総数／%,,91.6,26.3,20.8,4,4,2.6,2.6,2.2,2.2,2.2,0.7,4.4,5.1
業態別／シティホテル／n,36,36,15,14,6,6,2,5,3,5,4,2,1,0
業態別／シティホテル／%,,100,41.7,38.9,16.7,16.7,5.6,13.9,8.3,13.9,11.1,5.6,2.8,0
業態別／ビジネスホテル／n,188,176,48,40,4,2,3,2,2,1,2,0,9,6
業態別／ビジネスホテル／%,,93.6,25.5,21.3,2.1,1.1,1.6,1.1,1.1,0.5,1.1,0,4.8,3.2
業態別／旅館／n,22,15,3,0,0,0,0,0,0,0,0,0,1,6
業態別／旅館／%,,68.2,13.6,0,0,0,0,0,0,0,0,0,4.5,27.3
業態別／その他／n,27,23,6,3,1,3,2,0,1,0,0,0,1,2
業態別／その他／%,,85.2,22.2,11.1,3.7,11.1,7.4,0,3.7,0,0,0,3.7,7.4
