,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年
その他・不明,5,21,18,12,13,14,20,22,16,36,49
性的接触(不明),16,18,26,21,19,30,25,34,54,120,180
性的接触(両性間),,,3,1,2,2,1,5,4,4,9
性的接触(同性間),12,24,58,89,87,135,162,248,247,288,445
性的接触(異性間),52,68,54,43,34,40,55,59,99,325,535
