,同性のみ,主に同性,異性と同性同じぐらい,その他の回答
平成24年,1335,515,121,3176
平成25年,1404,559,136,3247
平成26年,1462,618,142,3324
平成27年,1464,571,136,2777
平成28年,1438,530,135,2437
