,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28
合計,515,545,471,509,409,461,469,512,435,464
同性間性的接触,368,412,332,355,299,343,353,373,339,355
異性間性的接触,90,83,81,94,56,69,64,91,55,59
不明・その他,57,50,58,60,54,49,52,48,41,50
