保険者番号,保険者別,不当利得返還金／現年度分／調定額(円),不当利得返還金／現年度分／収納額(円),不当利得返還金／過年度分ａ／調定額(円),不当利得返還金／過年度分ａ／収納額(円),不正利得徴収金b／調定額(円),不正利得徴収金b／収納額(円),第三者行為賠償金／公害分ｃ／調定額(円),第三者行為賠償金／公害分ｃ／収納額(円),第三者行為賠償金／その他ｄ／調定額(円),第三者行為賠償金／その他ｄ／収納額(円),徴収金等計／ａ＋ｂ＋ｃ＋ｄ／調定額(円),徴収金等計／ａ＋ｂ＋ｃ＋ｄ／収納額(円)
,平成25年度総計,6559260,5617755,8315729,7412748,210,210,858032,858032,21902779,21887785,31076750,30158775
,平成26年度総計,6244751,5176112,9370493,7766826,27734,27734,609938,609938,20076603,19510785,30084768,27915283
,平成27年度総計,9795180,6561798,6160832,5946396,0,0,145642,145642,17290805,17285805,23597279,23377843
,特別区計,7641094,4739795,2745637,2476680,0,0,145642,145642,12032524,12032524,14923803,14654846
,市町村計,2154086,1822003,3415195,3469716,0,0,0,0,5258281,5253281,8673476,8722997
,多摩計,2154086,1822003,3415195,3469716,0,0,0,0,5258281,5253281,8673476,8722997
,島しょ計,0,0,0,0,0,0,0,0,0,0,0,0
1,千代田区,11228,11228,0,0,0,0,0,0,0,0,0,0
2,中央区,92197,46312,33964,27083,0,0,0,0,0,0,33964,27083
3,港区,0,0,0,0,0,0,0,0,0,0,0,0
4,新宿区,622532,276787,29526,29526,0,0,0,0,2070372,2070372,2099898,2099898
5,文京区,96157,96157,17010,17010,0,0,0,0,0,0,17010,17010
6,台東区,44471,44471,71071,67690,0,0,0,0,0,0,71071,67690
7,墨田区,24773,21238,117565,117565,0,0,7441,7441,0,0,125006,125006
8,江東区,20650,16905,387803,269731,0,0,0,0,10819,10819,398622,280550
9,品川区,1317934,1298257,65310,27524,0,0,0,0,10430,10430,75740,37954
10,目黒区,110831,110831,260667,260667,0,0,0,0,0,0,260667,260667
11,大田区,2122849,172739,855906,851552,0,0,0,0,0,0,855906,851552
12,世田谷区,435463,422100,252417,252417,0,0,0,0,0,0,252417,252417
13,渋谷区,8869,8869,0,0,0,0,0,0,0,0,0,0
14,中野区,98686,61432,0,0,0,0,0,0,1185723,1185723,1185723,1185723
15,杉並区,74556,74556,29456,29456,0,0,0,0,0,0,29456,29456
16,豊島区,113848,87941,26040,0,0,0,0,0,0,0,26040,0
17,北区,37919,37919,41139,37639,0,0,0,0,0,0,41139,37639
18,荒川区,0,0,0,0,0,0,44366,44366,0,0,44366,44366
19,板橋区,954092,954092,108680,72791,0,0,69384,69384,469143,469143,647207,611318
20,練馬区,188590,151665,123620,117159,0,0,0,0,0,0,123620,117159
21,足立区,482146,360871,278467,251874,0,0,7581,7581,2183898,2183898,2469946,2443353
22,葛飾区,467487,169609,560,560,0,0,0,0,0,0,560,560
23,江戸川区,315816,315816,46436,46436,0,0,16870,16870,6102139,6102139,6165445,6165445
24,八王子市,105341,93056,177162,163750,0,0,0,0,209827,209827,386989,373577
25,立川市,415387,171136,50694,50694,0,0,0,0,316166,316166,366860,366860
26,武蔵野市,59556,59556,14028,14028,0,0,0,0,2405442,2405442,2419470,2419470
27,三鷹市,17654,9226,7637,7637,0,0,0,0,0,0,7637,7637
28,青梅市,32543,32543,0,0,0,0,0,0,0,0,0,0
