,初めて(%),2回目(%),3～5回目(%),6回目以上(%),不明(%)
平成24年,23.6,18.3,32.7,19.1,6.2
平成25年,23,19.6,32.6,20.1,4.8
平成26年,21.7,19.5,31.8,21.5,5.5
平成27年,20,16.6,32.7,23.5,7.2
平成28年,16.5,16.1,32.5,28.1,6.8
