"負債及び純資産／科目","負債及び純資産／金額(円)"
"繰上充用金(当年度赤字額)ｅ","642407501"
"市町村債（組合債）残高ｆ","0"
"その他の負債ｇ","0"
"負債合計（ｅ＋ｆ＋ｇ）","642407501"
"純資産(資産合計一負債合計)","27266379176"
