（単位：人）,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,計
H18,,,1036,634,616,,,,,,,,2286
H19,,,301,184,172,126,242,185,162,177,376,375,2300
H20,687,1214,890,917,884,1283,1427,,,,,,7302
