,総数,英語,中国語,韓国語,タイ語,フランス語,スペイン語,ドイツ語,タガログ語,イタリア語,その他,無回答
総数／n,274,162,147,54,23,11,8,5,2,1,6,30
総数／%,,59.1,53.6,19.7,8.4,4,2.9,1.8,0.7,0.4,2.2,10.9
業態別／シティホテル／n,36,23,20,11,5,4,1,2,0,1,0,5
業態別／シティホテル／%,,63.9,55.6,30.6,13.9,11.1,2.8,5.6,0,2.8,0,13.9
業態別／ビジネスホテル／n,188,111,108,39,13,3,6,2,1,0,5,15
業態別／ビジネスホテル／%,,59,57.4,20.7,6.9,1.6,3.2,1.1,0.5,0,2.7,8
業態別／旅館／n,22,12,5,1,2,3,0,0,0,0,0,7
業態別／旅館／%,,54.5,22.7,4.5,9.1,13.6,0,0,0,0,0,31.8
業態別／その他／n,27,15,13,3,3,1,1,1,1,0,1,3
業態別／その他／%,,55.6,48.1,11.1,11.1,3.7,3.7,3.7,3.7,0,3.7,11.1
