"資産／科目","資産／金額(円)"
"基金等保有額ａ","109090136162"
"次年度への繰越金ｂ","62020030422"
"貸付金等ｃ","10711233"
"その他の資産ｄ","32350733460"
"資産合計（ａ＋ｂ＋ｃ＋ｄ）","203471611277"
