保険者番号,保険者別,不当利得返還金／現年度分／調定額(円),不当利得返還金／現年度分／収納額(円),不当利得返還金／過年度分ａ／調定額(円),不当利得返還金／過年度分ａ／収納額(円),不正利得徴収金b／調定額(円),不正利得徴収金b／収納額(円),第三者行為賠償金／公害分ｃ／調定額(円),第三者行為賠償金／公害分ｃ／収納額(円),第三者行為賠償金／その他ｄ／調定額(円),第三者行為賠償金／その他ｄ／収納額(円),徴収金等計／ａ＋ｂ＋ｃ＋ｄ／調定額(円),徴収金等計／ａ＋ｂ＋ｃ＋ｄ／収納額(円)
,平成25年度総計,613715781,467762278,612743906,427268036,3881404,1001817,47212629,47199882,1241234964,1214326667,1905072903,1689796402
,平成26年度総計,613745537,466342597,762221470,551185044,4456874,602815,41875583,41838070,1120778789,1059526489,1929332716,1653152418
,平成27年度総計,691208567,529253906,731591243,491175322,7229011,6863831,40049471,40039678,1041073084,987053895,1819942809,1525132726
,公営計,518024243,384588804,517989002,321879041,4845969,4480789,37362519,37362519,704347544,685721084,1264545034,1049443433
,特別区計,390365118,279709161,371287359,209602867,2419079,2053899,37355988,37355988,517482890,509919971,928545316,758932725
,市町村計,127659125,104879643,146701643,112276174,2426890,2426890,6531,6531,186864654,175801113,335999718,290510708
,多摩計,125612206,102832724,146701643,112276174,2426890,2426890,6531,6531,186159089,175095548,335294153,289805143
,島しょ計,2046919,2046919,0,0,0,0,0,0,705565,705565,705565,705565
,組合計,173184324,144665102,213602241,169296281,2383042,2383042,2686952,2677159,336725540,301332811,555397775,475689293
1,千代田区,2723994,1346680,5651024,5375357,0,0,64687,64687,2490632,2490632,8206343,7930676
2,中央区,2123879,1509297,938451,260516,0,0,416297,416297,3483565,3483565,4838313,4160378
3,港区,4818073,3774260,4303916,2504691,0,0,5848,5848,7950350,7950350,12260114,10460889
4,新宿区,21092992,10732875,2407696,1100946,538722,538722,2810400,2810400,18834359,18834359,24591177,23284427
5,文京区,7368069,6684068,13699667,2139164,0,0,560765,560765,3153895,3153895,17414327,5853824
6,台東区,3017488,3017488,13179156,5618590,0,0,1402179,1402179,16278658,16278658,30859993,23299427
7,墨田区,8820879,6996911,12413863,11564718,0,0,2622736,2622736,13439620,13439620,28476219,27627074
8,江東区,5912492,5237237,26493683,16708830,585228,585228,1971255,1971255,16879637,16879637,45929803,36144950
9,品川区,25699309,17724765,27147636,13615838,35595,35595,300481,300481,40160136,40160136,67643848,54112050
10,目黒区,7409700,7409700,16937864,13161539,242207,242207,571263,571263,1022120,2241638,18773454,16216647
11,大田区,29138027,18264162,32339516,20753134,0,0,1769480,1769480,30872116,30872116,64981112,53394730
12,世田谷区,63559504,46950225,59391764,25772339,0,0,472808,472808,53851927,48806722,113716499,75051869
13,渋谷区,15104247,8818485,10411681,7817140,0,0,1268976,1268976,14302101,14302101,25982758,23388217
14,中野区,12838479,8820564,6832577,5739460,365180,0,82327,82327,16433265,16433265,23713349,22255052
15,杉並区,19121828,15854570,12779279,9540986,6320,6320,166950,166950,19684068,19684068,32636617,29398324
16,豊島区,26763628,15580125,13158970,6363259,0,0,2763126,2763126,8839792,8839792,24761888,17966177
17,北区,17710844,10683391,16176063,5207766,235053,235053,2161199,2161199,38592852,36368903,57165167,43972921
18,荒川区,8127213,4849083,5544456,2568673,0,0,2733798,2733798,12988401,12832665,21266655,18135136
19,板橋区,16890250,16890250,28212598,3661003,0,0,1400534,1400534,24466657,24460280,54079789,29521817
20,練馬区,15711610,12104684,13253861,9724408,0,0,793093,793093,38017716,38017716,52064670,48535217
21,足立区,19802874,12079808,24773246,16264196,410774,410774,3821315,3821315,59723652,59719753,88728987,80216038
22,葛飾区,24663819,16398292,12654248,11875178,0,0,1436298,1436298,20492744,19145473,34583290,32456949
23,江戸川区,31945920,27982241,12586144,12265136,0,0,7760173,7760173,55524627,55524627,75870944,75549936
24,八王子市,23417751,14061526,30043091,19122273,600576,600576,0,0,36007962,28811842,66651629,48534691
25,立川市,11572583,9774126,10521872,9969492,197264,197264,0,0,6553098,6553098,17272234,16719854
26,武蔵野市,1461913,1290220,2745615,2745615,0,0,0,0,7601043,7601043,10346658,10346658
27,三鷹市,3003323,1865048,1352102,969442,12075,12075,0,0,6684790,6645767,8048967,7627284
28,青梅市,5871442,5102432,4697796,4244275,0,0,0,0,6266155,6266155,10963951,10510430
29,府中市,6114893,5294941,12182057,11418023,0,0,0,0,5366109,5366109,17548166,16784132
30,昭島市,4387819,3409416,3309705,2403831,0,0,0,0,2220191,2220191,5529896,4624022
31,調布市,4956143,4496015,2737215,2525273,0,0,0,0,12124534,12124534,14861749,14649807
32,町田市,19828058,19828058,15928029,17224984,405677,405677,6531,6531,28767272,25687814,45107509,43325006
33,福生市,2059214,780498,2772832,1263311,0,0,0,0,569691,569691,3342523,1833002
34,羽村市,2028472,1034745,1101695,993265,0,0,0,0,690420,690420,1792115,1683685
35,瑞穂町,0,0,1635407,1429289,0,0,0,0,1446608,1336020,3082015,2765309
36,あきる野市,2218750,2134035,2389240,2215316,92904,92904,0,0,4050564,4050564,6532708,6358784
37,日の出町,1081190,970835,132281,119625,0,0,0,0,298012,298012,430293,417637
39,檜原村,5852,5852,3276,3276,200008,200008,0,0,151835,151835,355119,355119
