,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年
男性(人),85,131,159,166,155,221,263,368,420,773,1218
女性(人),27,31,46,30,18,27,34,51,87,271,455
