,総数,100人以下,101～1000人,1001人～3000人,3001人～5000人,5001人～10000人,10001人以上,宿泊者なし,無回答
総数／n,274,45,46,33,24,40,77,2,7
総数／%,100,16.4,16.8,12,8.8,14.6,28.1,0.7,2.6
業態別／シティホテル／n,36,1,4,2,1,4,23,0,1
業態別／シティホテル／%,100,2.8,11.1,5.6,2.8,11.1,63.9,0,2.8
業態別／ビジネスホテル／n,188,21,31,27,20,34,49,1,5
業態別／ビジネスホテル／%,100,11.2,16.5,14.4,10.6,18.1,26.1,0.5,2.7
業態別／旅館／n,22,11,7,0,1,1,1,0,1
業態別／旅館／%,100,50,31.8,0,4.5,4.5,4.5,0,4.5
業態別／その他／n,27,12,4,4,2,1,3,1,0
業態別／その他／%,100,44.4,14.8,14.8,7.4,3.7,11.1,3.7,0
