,総数,知っており、利用したことがある,知っているが、利用したことはない,知らない,無回答
総数／n,274,38,64,169,3
総数／%,100,13.9,23.4,61.7,1.1
業態別／シティホテル／n,36,10,6,19,1
業態別／シティホテル／%,100,27.8,16.7,52.8,2.8
業態別／ビジネスホテル／n,188,24,49,114,1
業態別／ビジネスホテル／%,100,12.8,26.1,60.6,0.5
業態別／旅館／n,22,2,5,15,0
業態別／旅館／%,100,9.1,22.7,68.2,0
業態別／その他／n,27,2,3,21,1
業態別／その他／%,100,7.4,11.1,77.8,3.7
