,総数,ある,ない,無回答
総数／n,274,25,245,4
総数／%,100,9.1,89.4,1.5
業態別／シティホテル／n,36,7,26,3
業態別／シティホテル／%,100,19.4,72.2,8.3
業態別／ビジネスホテル／n,188,13,175,0
業態別／ビジネスホテル／%,100,6.9,93.1,0
業態別／旅館／n,22,4,18,0
業態別／旅館／%,100,18.2,81.8,0
業態別／その他／n,27,1,25,1
業態別／その他／%,100,3.7,92.6,3.7
