,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28
合計,515,545,471,509,409,461,469,512,435,464
日本・男性,454,487,413,446,353,407,415,451,363,386
日本・女性,19,12,14,23,19,10,7,13,11,8
外国・男性,32,37,38,33,30,39,45,45,57,68
外国・女性,10,9,6,7,7,5,2,3,4,2
