"","調定額(円)","収納額(円)","還付未済額(別掲)(円)","不納欠損額(円)","未収額(円)","居所不明者分調定額(円)","収納率(%)"
"現年分","251851900290","251793075450","13153700","48741","58776099","0","99.98"
"滞繰分","143325159","56475957","0","27318054","59531148","0","39.4"
"計","251995225449","251849551407","13153700","27366795","118307247","0","99.94"
