"","調定額(円)","収納額(円)","還付未済額(別掲)(円)","不納欠損額(円)","未収額(円)","居所不明者分調定額(円)","収納率(%)"
"現年分","257122010388","219700171538","509683960","75354535","37346484315","201175819","85.51"
"滞繰分","73201340566","21414836716","41045272","18229486073","33557017777","245392072","29.35"
"計","330323350954","241115008254","550729232","18304840608","70903502092","446567891","73.09"
