,同性のみ(%),主に同性(%),異性と同性同じぐらい(%),その他の回答(%)
平成24年,16,10,2.4,61.7
平成25年,26.3,10.5,2.5,60.7
平成26年,26.4,11.1,2.6,59.9
平成27年,29.6,11.5,2.7,56.1
平成28年,31.7,11.7,3,53.7
