,総数,保有している,保有していない,無回答
総数／n,274,52,206,16
総数／%,100,19,75.2,5.8
業態別／シティホテル／n,36,14,20,2
業態別／シティホテル／%,100,38.9,55.6,5.6
業態別／ビジネスホテル／n,188,33,147,8
業態別／ビジネスホテル／%,100,17.6,78.2,4.3
業態別／旅館／n,22,2,19,1
業態別／旅館／%,100,9.1,86.4,4.5
業態別／その他／n,27,3,19,5
業態別／その他／%,100,11.1,70.4,18.5
