"年月[西暦]","調査項目","設問","選択肢","回答数[人]","構成比[%]"
"202003","あなたご自身のことについて","性別","男性","243","47.2"
"202003","あなたご自身のことについて","性別","女性","272","52.8"
"202003","あなたご自身のことについて","性別","無回答","0","0.0"
"202003","あなたご自身のことについて","年齢","18～29歳","47","9.1"
"202003","あなたご自身のことについて","年齢","30～39歳","98","19.0"
"202003","あなたご自身のことについて","年齢","40～49歳","148","28.7"
"202003","あなたご自身のことについて","年齢","50～59歳","131","25.4"
"202003","あなたご自身のことについて","年齢","60～69歳","60","11.7"
"202003","あなたご自身のことについて","年齢","70歳以上","31","6.0"
"202003","あなたご自身のことについて","年齢","無回答","0","0.0"
"202003","あなたご自身のことについて","同居している家族の人数","1人","162","31.5"
"202003","あなたご自身のことについて","同居している家族の人数","2人","187","36.3"
"202003","あなたご自身のことについて","同居している家族の人数","3人","98","19.0"
"202003","あなたご自身のことについて","同居している家族の人数","4人以上","68","13.2"
"202003","あなたご自身のことについて","同居している家族の人数","無回答","0","0.0"
"202003","あなたご自身のことについて","住宅の形態","持家（一戸建）","54","10.5"
"202003","あなたご自身のことについて","住宅の形態","持家（マンション）","217","42.1"
"202003","あなたご自身のことについて","住宅の形態","借家（一戸建）","2","0.4"
"202003","あなたご自身のことについて","住宅の形態","民間の賃貸マンション・アパート","190","36.9"
"202003","あなたご自身のことについて","住宅の形態","都営住宅・区民住宅・区立住宅","17","3.3"
"202003","あなたご自身のことについて","住宅の形態","UR（旧公団）・公社の賃貸住宅","12","2.3"
"202003","あなたご自身のことについて","住宅の形態","社宅・公務員宿舎","12","2.3"
"202003","あなたご自身のことについて","住宅の形態","寮・寄宿舎・住み込み・間借り","6","1.2"
"202003","あなたご自身のことについて","住宅の形態","その他","5","1.0"
"202003","あなたご自身のことについて","住宅の形態","無回答","0","0.0"
"202003","あなたご自身のことについて","区内での居住年数","３年未満","64","12.4"
"202003","あなたご自身のことについて","区内での居住年数","４年以上５年未満","50","9.7"
"202003","あなたご自身のことについて","区内での居住年数","５年以上10年未満","77","15.0"
"202003","あなたご自身のことについて","区内での居住年数","10年以上20年未満","163","31.7"
"202003","あなたご自身のことについて","区内での居住年数","引っ越してきてから20年以上","105","20.4"
"202003","あなたご自身のことについて","区内での居住年数","生まれてからずっと港区に住んでいる","56","10.9"
"202003","あなたご自身のことについて","区内での居住年数","無回答","0","0.0"
"202003","あなたご自身のことについて","居住地区","芝地区","94","18.3"
"202003","あなたご自身のことについて","居住地区","麻布地区","107","20.8"
"202003","あなたご自身のことについて","居住地区","赤坂地区","52","10.1"
"202003","あなたご自身のことについて","居住地区","高輪地区","133","25.8"
"202003","あなたご自身のことについて","居住地区","芝浦港南地区","129","25.0"
"202003","あなたご自身のことについて","居住地区","無回答","0","0.0"

"港区の環境に関する区民アンケート（Web）調査結果・単純集計表・あなたご自身のことについてQ15","Ver202003",,,,
