,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
借地･貸地･借家･貸家,144,154,134,132,118
土地･建物,101,68,58,74,64
金銭,134,117,95,99,76
サラ金･クレジット,11,6,8,9,8
刑事･刑訴,11,11,11,10,13
商事,25,19,19,12,25
戸籍,3,2,3,2,2
相続,269,250,222,231,196
結婚･離婚,157,203,166,154,134
親子・家族,41,40,46,29,45
相隣,63,45,41,34,42
損害賠償,90,96,97,78,77
労働,23,12,13,24,20
環境,1,1,0,1,3
人権,1,1,4,2,2
その他,90,56,62,51,47
合計,"1,164","1,081",979,942,872
